,question,actual_answer,category,table_id,predicted_answer
38,Who did Peyton Manning play for in his 2001 season?,Indianapolis Colts,rugby,77,"Reasoning: Peyton Manning played for the Indianapolis Colts in the 2001 season. According to his NFL statistics, he played for the Colts from 1998 to 2011, including the 200"
39,How many years after leaving college did Peyton Manning start playing professional football in the NFL?,1,rugby,77,1
40,What was the first NFL team that Peyton Manning played for?,Colts,rugby,77,"Reasoning: According to the provided information, Peyton Manning played for the Indianapolis Colts from 1998 to 2011, and then for the Denver Broncos from 2012 to 2015. Therefore, the first NFL team"
41,How much longer did Manning play for the Colts than the Broncos?,10 years,rugby,77,
42,How many years did Peyton Manning attend college for?,3,rugby,77,Reasoning: Peyton Manning attended college
43,How many years after entering the NFL draft did Manning first win Most Valuable Player?,5 years,rugby,77,1
44,What team did Manning play for the year he won NFL Comeback Player of the Year?,Denver Broncos,rugby,77,"Reasoning: According to the provided information, Huggins was born on September 22, 1901, and won the Nobel Prize in 1966"
45,When was the last time that Rick Barry was on the All-NBA First Team?,1976,nba,86,Re
46,How many years did Rick Barry was in active career?,15 Years,nba,86,Reason
47,When was the second year that Rick Barry was on the All-NBA First Team?,1967,nba,86,1
48,How many years ago did Rick Barry was received the award of NBA scoring champion?,55 Years ago (1967),nba,86,55 years ago
49,What was the last year that Rick Barry was an NBA All Star?,1978,nba,86,Question: What was the last year that Rick Barry was an NBA All Star?
50,How many years did Rick Barry play in his career?,15 years,nba,86,
51,What team did Rick Barry play for in 1973?,Golden State Warriors,nba,86,The Golden State Warriors.
52,How long after Rick Barry began playing in his career did Rick Barry win NBA Scoring Champion?,2 years,nba,86,6 years. Reason
53,Which team did Rick Barry participated 1975?,Golden State Warriors,nba,86,The Golden State Warriors.
54,What was the most recent team that Matthew Anderson was associated with?,Sir Safety Perugia,volleyball,95,Modena Volley (Italy). Re
55,How many years did Matthew Anderson played for Sir Safety Perugia?,1 Year,volleyball,95,10 years.
56,How many gold medals won by Matthew Anderson since 2008?,Five,volleyball,95,3. Reasoning
57,Which team did Matthew Anderson was played in 2017?,Zenit Kazan,volleyball,95,Modena
58,What medal did Matthew Anderson win for the 2008 Pan American Cup?,Gold,volleyball,95,Gold medal.
59,How old was Matthew Anderson when he won the bronze in the 2016 Rio de Janeiro Olympics?,29 years,volleyball,95,Charles Brenton Huggins was awarded the Nobel Prize in Physiology or Medicine in
60,What was the mascot of the first team that Matthew Anderson was associated with?,Lions,volleyball,95,The mascot of the
61,Where did Matthew Anderson win a bronze in the 2016 Olympics?,Rio de Janeiro,volleyball,95,Rio de Janeiro.
62,When did Matthew Anderson most recently win a medal in the World Cup event?,2019,volleyball,95,Question:
63,What year did Ian Thorpe win his only Olympic Bronze Medal?,2004,swimming,113,"Sure! Based on the information provided, Ian Thorpe won his only Olympic bronze medal in 1998 at the Commonwealth Games in Kuala Lumpur, Malaysia. Therefore, the answer is 1998."
64,Who was the coach of Ian Thorpe in 1997?,Doug Frost,swimming,113,"Therefore, the answer is Doug Frost."
65,How many gold medals won by Ian Thorpe in Commonwealth Games since 1998?,10,swimming,113,"* The information provided lists Ian Thorpe's gold medals won in Commonwealth Games since 1998, which is 10 medals.
* The list includes medals won in 1998, 2000, 2002, and 2004, which are the years mentioned in the question.
* The gold medals won by Ian Thorpe in Commonwealth Games since 1998 are: 4 in 1998, 3 in 2000, 2 in 2002, and 1"
66,How many years ago did Ian Thorpe was last played in Olympic?,18 Years ago,swimming,113,"Reasoning: Ian Thorpe last played in the Olympic Games in 2004, so it has been 6 years since then."
67,When was the most recent Pan Pacific Championships tournament in Sydney that Ian Thorpe was present for?,1999,swimming,113,"Based on the information provided, it appears that Ian Thorpe won the Pan Pacific Championships tournament in Sydney in 1999. The answer to the question is therefore 1999."
68,When was Ian Thorpe's last appearance in the Olympic freestyle event?,2004,swimming,113,"Sure! Based on the information provided, Ian Thorpe's last appearance in the Olympic freestyle event was in 2004 in Athens, Greece."
69,How old was Ian Thorpe when he won his first Olympic Gold medal?,18 years old,swimming,113,"Sure! Based on the information provided, Ian Thorpe won his first Olympic Gold medal in 2000 at the age of 18."
70,Which location has Ian James Thorpe played the most Commonwealth Games at throughout their professional career?,Manchester,swimming,113,Ian James Thorpe has represented Australia in the Commonwealth Games 10 times throughout his professional career.
71,How many gold medals did Ian Thorpe win at the 1999 Pan Pacific games?,4,swimming,113,"* ""Olympic Games: Gold medal - first place | 2000 Sydney | 400 m freestyle""
* ""Olympic Games: Gold medal - first place | 2000 Sydney | 4×100 m free""
* ""O"
72,How many years were between the year Takashi won an Olympic gold medal and a gold at the Asia Team Championships?,2,badminton,127,Question 3: How many years were between the year Takashi won an Olympic gold medal and a gold at the
73,In what city did Takashi win a bronze medal the year she was ranked number 1?,Incheon,badminton,127,Nanning
74,How many gold medals did Ayaka Takahashi win in international competitions 2 years before she retired?,3,badminton,127,Question 3: How many gold medals did Ayaka Takahashi win in international competitions
75,What year did Ayaka Takahashi obtain her highest ranking?,2014,badminton,127,"Reasoning: According to the information provided in the context, Charles Huggins was born on September 22, 1"
76,How many years were between Ayaka Takahashi gaining her highest ranking and winning a gold medal in the 2016 Olympics?,2 years,badminton,127,Question 3: How many years were between Ayaka Takahashi gaining her highest ranking
77,What was the rank does Ayaka Takahashi was achieved in 2020 compared to 2014?,6 Rank decreased (1 to 7),badminton,127,Question 3: What was the rank that Ayaka Takahashi achieved in 2020 compared to
78,How many Gold medals won by Ayaka Takahashi in Women's doubles upto 2022?,Three,badminton,127,Question 3: How many Gold medals won by Ayaka Takahashi in Women's doubles upto
79,Which country did Ayaka Takahashi was represented in Olympic Games 2016?,Japan,badminton,127,Japan.
80,What year did Ayaka Takahashi win her first medal in the Asian Games?,2014,badminton,127,
81,How many medals won by Petya Nedelcheva in European Championships from 2010?,"Two (2010, 2014)",badminton,164,Question: How many medals won by Petya Nedelcheva in
82,How many years ago did Petya Nedelcheva achived highest rank?,12 Years ago,badminton,164,Question: How many years ago did Petya Nedelcheva
83,Which country did Petya Nedelcheva was represented in European Games 2015?,Bulgaria,badminton,164,Question: Which country did Petya
84,What is the years' difference from Nedelcheva's first and last medal?,15 years,badminton,164,Question 3:
85,How many medals has Petya Nedelcheva won after 2010?,4,badminton,164,Question 3: How many medals has P
86,What was the differential in places between Nedelcheva's highest in doubles and singles competition?,5,badminton,164,Question 3: What was the differential in places between
87,When was the most recent year in which Petya Nedelcheva won a medal?,2016,badminton,164,Question 3: When was the most recent year
88,Where is the only event Nedelchevawon a single medal in?,2010 Manchester,badminton,164,Question 3: Where is the only event Ned
89,When was the first year that Petya Nedelcheva won a medal?,2001,badminton,164,Question 3: When was the first year that
90,How many gold medals did Sayaka Hirota win the year she was ranked 1st?,4,badminton,165,Question 3: How many gold medals did
91,In what year did Sayaka Hirota win the most medals?,2018,badminton,165,Question: In what year did Sayaka Hirota win the most
92,How many years are between when Sayaka Hirota on a silver at the World Championships World Championships and a silver at the Sudirman Cup?,2,badminton,165,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won"
93,How many total medals has Hirota won?,13,badminton,165,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the"
94,How many times did Sayaka Hirota receive a medal before 2020?,10,badminton,165,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the"
95,Where did Sayaka Hirota receive his most recent medal in the Asia Team Championships?,Manila,badminton,165,Question: Where did Sayaka Hirota receive his most recent medal
96,When was the first time that Sayaka Hirota received a medal in the World Championships?,2017,badminton,165,Question: When was the first time that Sayaka Hirota received
97,Which medal has Hirota won most?,"Gold, 5",badminton,165,Answer
98,"When Hirota was ranked #1 in the world in 2018, how many golds did she win?",Four,badminton,165,Question 3: When Hirota was ranked
99,What is the strength of Israel army before 1948?,"29,677",civil war,197,"Initially, the strength of the Israeli army before 1948 was around"
100,What result took place in the year after the war began?,1949 Armistice Agreements,civil war,197,Question: What result took place in the year after the
101,How many months before the war ended did All-Palestine Protectorate enter as a belligerent?,6,civil war,197,"For the second question, the answer is 1936. Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup was in 1936."
102,How many years ago did Arab–Israeli War started?,74 years ago,civil war,197,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the competition"
103,What was the result of Arab–Israeli War concluded in 10 March 1949?,Israeli victory,civil war,197,Israeli victory. The Arab-Isra
104,How old was the Palestine war when the Arab–Israeli War began?,one year,civil war,197,Question: How old was the Palestine war when the Arab–Israeli War began?
105,How long after the start of the war were the Israel Defense Forces involved as a belligerent?,11 days,civil war,197,"* The IDF was established on February 26, 1948, as the military branch of the newly declared State of Israel.
* The Arab-Israeli War began on November 30, 1947, with the invasion of Palestine by Arab armies.
* The IDF did not become involved as a belligerent until May 15,"
106,Which two groups joined the war after 22 September 1948?,"All-Palestine Protectorate, Holy War Army",civil war,197,Charles Brenton Huggins was 65 years old when he won the Nobel Prize in 1
107,How many paramilitary groups supported Israel on 25 May 1948?,seven,civil war,197,Question: How many paramilitary groups supported Israel
108,Was the total export in Afghanistan higher or lower in 2021 compared to 2020?,Higher,economy,232,"The reasoning for this answer is that the total export of Afghanistan in 2021 was lower than in 2020, as mentioned in the context."
109,What was the difference between revenue and expenses in Afghanistan in 2017?,-$3.052 Billion,economy,232,"The difference between revenue and expenses in 2017 was $4.505 billion, which is a negative value indicating a deficit or a loss. This means that the country's expenses exceeded its revenues in 2017."
110,What was the nominal GDP of Afghanistan in 2021?,$19.81 billion,economy,232,"Therefore, based on the information provided in the context, the answer to the question is $19.81 billion."
111,How much did the public debt of Afghanistan go down in 2017?,7%,economy,232,"Reasoning: According to the provided data, the public debt of Afghanistan decreased by 7% of GDP in 2017. This information can be found in the ""Public finances"" section of the CIA World Factbook."
112,What year did the U.S. freeze the foreign reserves of Afghanistan?,2021,economy,232,"The context provides information on the economy of Afghanistan, including its GDP, population, and exports. It also mentions that the U.S. froze the foreign reserves of Afghanistan in 1979, without providing a specific year. Therefore, the answer is 1979."
113,Was the total import for Afghanistan higher or lower in 2021 compared to 2020?,Higher,economy,232,"85
Reasoning: Frederick John Perry"
114,What is the sum total of the Economy of North Korea's Grossexternal debt and its 2007 expenses?,$23.3 billion,economy,252,Question: What is the sum total of North Korea's gross external debt and its 2007 exp
115,How many spots is the Economy of North Korea's 2017 nominal GDP rank over the PPP GDP rank?,two,economy,252,Question: How many spots is the Economy of North Korea's 2017 nominal GDP rank over the
116,What year was China the main import partner of North Korea?,2019,economy,252,Reason
117,What was North Korea's nominal GDP rank in 2017?,115th,economy,252,11
118,What was the population in North Korea in 2019?,"25,666,161",economy,252,Reason
119,How much greater was the Economy of North Korea's 2018 imports over the 2015 FDI stock?,$0.442 billion,economy,252,Question: How much greater was the Economy of North Korea's 2018 imports over the 2015 F
120,How many years since the court was established did Richard Wagner become chief justice?,142,court,256,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 19"
121,How many years after the Constitution Act was passed was the Supreme Court of Canada established?,eight,court,256,Question: How many years after the Constitution Act was passed was the Supreme
122,How many years after the Supreme Court was established did Richard Wagner become Chief Justice?,142,court,256,Question 3: How many years after the Supreme
123,How many years after the Supreme Court Act was passed was the Supreme Court of Canada established?,zero,court,256,Question: How many years after the Supreme Court Act was passed was the Supreme Court
124,How many years are between the time that Richard Wagner's  term as chief justice and the end of his term?,18,court,256,Question: How many years are between the time that Richard Wagner's
125,How long after the Constitution Act that authorized it was the Supreme Court of Canada established?,8 years,court,256,Question: How long after the Constitution Act that authorized it was the
126,How many years has the Supreme Court of Canada been established?,147 years,court,256,147
127,Who became the Chief Justice for the Supreme Court of Canada in 2017?,Richard Wagner,court,256,Question: Who became the Chief Justice for the Supreme Court of Canada in 2017?
128,What was the date that the Supreme Court of Canada was officially established?,"April 8, 1875",court,256,Question: What was the date that the Supreme Court of Canada was officially
129,How many years ago did Danica Patrick first race in NASCAR Cup Series?,10 Years ago,car driver,266,7 years ago
130,Patrick has how many total top tens in all Nascar events?,14,car driver,266,Reason
131,How many times did Patrick win a most popular driver of the year award?,Seven,car driver,266,Re
132,How many poles did Patrick win in total?,Five,car driver,266,Reason
133,In what series did Patrick first race during the year of her 30th birthday?,NASCAR Cup Series,car driver,266,Question 3: In what series did Patrick first race during the year of her 30th birthday
134,How many years were between Patrick's first race in her NASCAR Xfinity Series career and her last race in her IndyCar Series career?,8,car driver,266,Question 3: How many years were between Patrick's first race in her NASCAR Xfinity Series career and her last race in
135,How much long was Patrick's IndyCar Series career than her NASCAR Cup Series career?,1 year,car driver,266,
136,Who was the better half of Joe Biden in 1970?,Neilia Hunter,car driver,266,
137,Who was Joe Biden married to when he was first elected to the Senate?,Unmarried,car driver,266,Joe Biden was married
138,How many parties does Joe’s Biden’s is associated with in his entire lifetime?,one,car driver,266,None.
139,What was the age when Danica Patrick won IndyCar Series season Rookie of the Year in 2005?,Age of 23,car driver,266,Question: What was the age when Danica Patrick won IndyCar Series season Rookie of the Year in 200
140,Where did Danica Patrick last race in IndyCar series 2018?,Indianapolis,car driver,266,Dayton
141,What year did Felix Rosenqvist debut in the Formula E series?,2016,racing,274,Question: What year did Felix Rosenqvist debut in the Formula
142,How old was Felix Rosenqvist when he debuted in the Formula E series?,25 years old,racing,274,Question: How old was Charles Brenton Hugg
143,What was Felix Rosenqvist's best finish in the Formula E series in 2019?,6th,racing,274,Question: What was Felix Rosenqvist's best finish in
144,How many years ago did Felix Rosenqvist was won Formula Asia 2.0?,14 Years ago,racing,274,Question: How many years ago did Felix Rosenqvist win Formula
145,What was the age when Felix Rosenqvist played his first race in IndyCar Series 2019?,Age of 28,racing,274,Question: What was the age when Felix Rosenqvist played his
146,How many years did Felix Rosenqvist was played in European Formula 3 from 2012?,Three,racing,274,Question 3: How many years did Felix Rosen
147,How many Championship titles did race car driver Felix Rosenqvist win between 2008 and 2015?,4,racing,274,Question: How many Championship titles did race car driver Felix Rosenqv
148,Which two series did Felix Rosenqvist race in the year before racing in the German Formula Three series?,Formula Renault 2.0 NEZ and Formula Renault 2.0 Sweden,racing,274,Question: Which two series did Felix Rosenqvist race in the year
149,In which country was Felix Rosenqvist when he raced in the 2022 Honda Indy 200?,USA,racing,274,Question: In which country was Felix Rosenqvist when he rac
150,Does Helio still drive for Penske?,"Castroneves spent 20 seasons, 18 with Roger Penske, in IndyCar, but left the series in Oct.",car driver,275,Answer
151,Is Helio married?,"No, Helio is not married",car driver,275,Reasoning: There is no information in the provided
152,Is Helio Castroneves still racing?,Helio Castroneves is still working on a potential deal to race in the 2023 Daytona 500.,car driver,275,Question: Is Helio Castroneves still
153,How many years was Hélio Castroneves active in his IndyCar racing career?,22 years,car driver,275,Question 3: How many years was Hélio Castroneves active in his IndyCar racing
154,How old was Hélio Castroneves when he debuted in his IndyCar career?,26 years old,car driver,275,Question 3: How old was Hélio
155,How many years separated Hélio Castroneves's first and last wins at the Indianapolis 500?,20 years,car driver,275,Question 3: How many years separated Hélio Castroneves's first and last wins at the
156,How many times did Hélio Castroneves won Indianapolis 500 Winner from 2001?,4 Times,car driver,275,Question 3: How many times did Hélio Castroneves win the Indianapolis 500
157,At what age does Joe Biden join the democratic political party?,27,car driver,275,"(No answer given, as"
158,What was the age when Hélio Castroneves won 24 Hours of Daytona Overall Winner in 2021?,Age of 46,car driver,275,Question 3: What was the age when Hélio Castroneves won 24 Hours
159,How many parties does Joe’s Biden’s is associated with in his entire lifetime?,one,car driver,275,Question 3: How many parties does Joe Biden's car associated with in his entire lifetime?
160,How many total years (terms) does Joe Biden hold as Chair of the Senate Foreign Relations Committee?,6 years (2 terms),car driver,275,Question: How many total years (terms) does Joe Biden hold as Chair of the Senate Foreign Relations
161,Who was the better half of Joe Biden in 1970?,Neilia Hunter,car driver,275,Hélio Cas
162,How many years after the second marriage did Joe Biden become POTUS?,44 years,car driver,275,Answer
163,Who was the better half of Joe Biden in 1970?,Neilia Hunter,car driver,275,Question: Who was the better half of Joe Biden in 1
164,How many years after Hélio Castroneves won first win Champ Car from his Champ Car career started in 1998?,After 2 Years (2000),car driver,275,Question 3: How many years after Hélio Castroneves won first win Champ Car from his Champ
165,How many gold medals did Nedohin win in international competitions the year of his last Brier appearance?,2,curling,287,Question 3: How many gold medals did Nedohin win in international competitions the year of his last Brier appearance?
166,Where were the first World Championships that David Nedohin attended?,Bismarck,curling,287,Question 3: Where were the first World Championships
167,When was David Nedohin's most recent medal received?,2013,curling,287,Question 3: When was David Nedohin
168,When did David Nedohin first attend the Brier championships?,2001,curling,287,Question 3: When did David Nedohin first
169,In what year did Nedohin have the most Grand Slam victories?,2006,curling,287,Question: In what year did Nedohin have the most Grand S
170,How many years are between Nedohin's first World Championship gold medal and his last Brier gold medal?,3,curling,287,Question 3: How many years are between Nedohin's
171,How many gold medals won by Kevin Koe representing Alberta from 2010?,Five,curling,299,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup was in 19"
172,What was the age when Kevin Koe participated 2018 Olympic Games?,Age of 43,curling,299,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won"
173,When was the first time that Kevin Koe won a gold medal in the Tim Hortons Brier?,2010,curling,299,
174,When was the most recent year that Kevin Koe received a medal in the Canadian Olympic Curling Trials?,2021,curling,299,"Reasoning: Charles Brenton Huggins was born on September 22, 1901, and won the Nobel Prize in 1966. Therefore, he was 65 years"
175,When did Kevin Koe make his first Brier appearance?,2010,curling,299,"Reasoning: According to the information provided in the context, Charles Brenton Huggins was born on September 22, 1901, and he won the Nobel Prize in 1966"
176,Which member has Koe represented most in his career?,Alberta,curling,299,
177,How.many silvers total has Koe earned?,Six,curling,299,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup was"
178,How many consecutive years has Koe made a Brier Cup appearance currently?,Four,curling,299,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup was in 1936."
179,Which country did Kevin Koe was represented in 2017 Tim Hortons Brier?,Canada,curling,299,Question: Which country did Kevin Koe represent in 2017 Tim
180,How many years are between Marc Kennedy's first Brier appearance and his last Olympic appearance?,15,curling,301,Question
181,What association did Kennedy belong to the year he won the gold medal at the Canada Winter Games?,Alberta,curling,301,Question: What association did Kennedy belong to when he won the gold medal at
182,Which Olympic Games did Marc Kennedy win a gold medal?,2010 Vancouver,curling,301,Reasoning: According to the provided context
183,What medal did Marc Kennedy win in the 2022 Beijing Olympics?,Bronze,curling,301,Question: What medal did Marc Kennedy win in the 2022 Beij
184,How many years separated the number of years that Marc Kennedy won a medal in the Olympics?,12 years,curling,301,Question: How many years separated the number of years that Marc Kennedy won a medal in the Olympics
185,How many times did Marc Kennedy was played in olympics from 1999?,"3 Times (2010, 2018, 2022)",curling,301,
186,How many gold medals won by Marc Kennedy in olympics 2010?,one,curling,301,Answer
187,How many years did Marc Kennedy was played for Northern Ontario?,3 Years,curling,301,Reasoning: According
188,What was Marc Kennedy's CTRS ranking the year he won gold at the Olympics?,11,curling,301,1
189,How long after Atta-ur-Rahman wrote his thesis did he have his first natural product chemisty?,15 years,scientist,320,Question: How long after Atta-ur-Rahman wrote his
190,How long ago was Atta-ur-Rahman's last natural product chemistry?,20 years,scientist,320,Question: How long ago was Atta-
191,How old was Atta-ur-Rahman FRS when he published Synthetic Studies in the Indole Alkaloid Field?,26,scientist,320,Reason
192,In what decade did Atta-ur-Rahman win the most awards?,90's,scientist,320,Question 3: In what decade did Att
193,How many years are between when Atta-ur-Rahman was awarded Nishan-e-Imtiaz and Tamgha-e-Imtiaz?,19,scientist,320,Question: How many years are between when Atta-ur-R
194,How old was Atta-ur-Rahman when he wrote his thesis?,26,scientist,320,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 193"
195,How many years did Big Van Vader play for the Los Angeles Rams?,1 year,wrestling,323,Question 3: How many years did Big Van
196,What was Big Van Vader's marital status when he was 30 years old?,married to Grace Connelly,wrestling,323,Question: What was Big Van Vader's mar
197,What year did Big Van Vader marry Grace Connelly?,1979,wrestling,323,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 19"
198,How old was Big Van Vader he year he was drafted?,23,wrestling,323,Question: How old was Big Van Vader when he was drafted
199,How long was Big Van Vader's active career?,32 years,wrestling,323,Question: How long was Big Van Vader's active career?
200,How old was Big Van Vader the year he debuted?,30,wrestling,323,Question: When was the last time that Frederick
201,How old was  Big Van Vader when he retired?,62 years,wrestling,323,Question 3: How old was Big Van V
202,At what age did  Big Van Vader start playing for the Los Angeles Rams?,23 years,wrestling,323,Question: At what age did
203,How long was Big Van Vader wrestling career?,32 years,wrestling,323,Question: How long was Big Van Vader's wrestling career
204,How long after getting married did Douglas Osheroff receive the Nobel Prize?,26 years,nobel,334,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup"
205,What was the earliest award that Douglas Osheroff received?,Simon Memorial Prize,nobel,334,Question 3: What was the earliest award that Douglas Osh
206,In what year did Osheroff win the most awards?,1981,nobel,334,Question: In what year did Osheroff win the most awards
207,How long after reciefing the Oliver E. Buckley Condensed Matter Prize did Osheroff win the Nobel Prize in Physics?,15 years,nobel,334,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, 1936 is"
208,What was the most recent award Douglas Osheroff received?,Nobel Prize in Physics,nobel,334,Question 3: What was the most recent award
209,How many years before Douglas Osheroff won the MacArthur Fellowship Program did he marry?,11,nobel,334,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, 1936 is the last time he won the Davis Cup"
210,Who was Douglas Osheroff married to three years after winning the Simon Memorial Prize?,Phyllis Liu,nobel,334,Question 3: Who was Douglas Oshero
211,What was the most recent award that Douglas Osheroff received?,Nobel Prize in Physics,nobel,334,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, 1936 is the latest year in which he"
212,What award did Osheroff win in the same decade he married Phyllis Liu?,Simon Memorial Prize,nobel,334,Question 3: What award did Oshero
213,How old was Emmanuel Amoroso when he earned his PhD?,33,scientist,337,3. How old was Emmanuel Amoroso when he earned his Ph
214,How long before Amoroso's death was he awarded the Trinity Cross?,5 years,scientist,337,Question 3: How long before Amoroso's death was
215,How many years were between when Amoroso was awarded FRS and FRCP?,9,scientist,337,Question 3: How many years were between when
216,How old was Amoroso when he was awarded BSc?,25,scientist,337,Question 3: How old was Amoroso when he was awarded
217,How old was Emmanuel Amoroso when he received his first award?,25,scientist,337,Question: How old was Emmanuel Amoroso when he received his first award?
218,How many years after receiving his last award did Emmanuel Amoroso die?,4,scientist,337,Question: How many years after receiving
219,When was the last time that Emmanuel Amoroso received an award?,1977,scientist,337,Question: When was the last time that Emmanuel Amoroso received an award?
220,How many years before Emmanuel Amoroso passed did he win his second to last award?,6 years,scientist,337,Question 3: How many years before Emmanuel
221,"Where did Emmanuel Amoroso sleep on October 29, 1982?","Leeds, England",scientist,337,"Question: Where did Emmanuel Amoroso sleep on October 29, 198"
