"question","answer","category","table_id","predicted_answer"
"How old was Chuck Howley when his NFL career began?","22","rugby","74","Chuck Howley was 22 years old when his NFL career began."
"What team did Chuck Howley play for the year he made the Second-team All-Pro?","Raiders","rugby","74","Dallas Cowboys"
"What team did Chuck Howley play for first?","Chicago Bears","rugby","74","Chicago Bears"
"What team did Chuck Howley end his career playing for?","Raiders","rugby","74","Dallas Cowboys"
"When was the last year that Chuck Howley played in the Pro Bowl?","1971","rugby","74","Sure, here's a small answer within 1 to 10 words:1971"
"During what year did Manning receive the most awards or highlights?","2003","rugby","75","Sure! Here's a small answer within 1 to 10 words:2011"
"What career highlight did Manning achieve the year had 1,219 passing yards?","Pro Bowl","rugby","75","Sure! Here's a small answer within 1 to 10 words:Manning's career highlight was winning Super Bowl MVP twice."
"How many years longer did Manning play for the New York Giants than Ole Miss?","11","rugby","75","Sure, here's a small answer within 1 to 10 words:Manning played for the Giants 16 years, Ole Miss 4 years."
"In 2011 how many passing yards in a single postseason did Eli Manning have?","1,219 yards","rugby","75","Sure, here's a small answer within 1 to 10 words:1,219 yards."
"What were the number of years that Eli Manning played for the Giants before he won the Walter Payton NFL Man of the Year in 2016?","12 years","rugby","75","Sure! Here's a small answer within 1 to 10 words:14 years"
"What year was Eli Manning drafted into the NFL?","2004","rugby","75","Sure! Here's a small answer within 1 to 10 words:2004"
"How many years did Eli Manning play for the New York Giants?","15","rugby","75","Sure! Here's a small answer within 1 to 10 words:16 years"
"How many years did Eli Manning attend school at Ole Miss?","4 years","rugby","75","Four years."
"How many years after Eli Manning attended Ole Miss did he win the Bart Starr award?","21 years","rugby","75","Sure! Here's a small answer within 1 to 10 words:Eli Manning won the Bart Starr Award in 2020, 17 years after he attended Ole Miss."
"What college did James Worthy attend in 1980?","North Carolina","nba","81","North Carolina"
"How many years did James Worthy play professionally?","12 years","nba","81","James Worthy played professionally for 12 years."
"When was the last time that James Worthy played in an NBA All Stars game?","1992","nba","81","James Worthy's last NBA All-Star game was in 1992."
"When was the first time that James worthy was chosen as an All-American player?","1978","nba","81","Sure! Here's a small answer within 1 to 10 words:1979"
"For how many years did James Worthy play for the NBA?","12","nba","81","Sure! Here's a small answer within 1 to 10 words:12 years"
"How many years after winning the gold medal at the FIBA U19 World Championship did Worthy enter the draft?","3","nba","81","Two years."
"How many awards and highlights did Worthy have in the same year as the last year he was in college?","5","nba","81","Sure, here's a small answer within 1 to 10 words:3 NBA championships, 1 NBA Finals MVP, 7 NBA All-Star appearances."
"How long after Worthy's NBA career began did he win his first NBA championship?","3 years","nba","81","Seven years."
"How long had James Worthy been playing professionally when he won the NCAA Championship?","1","nba","81","Four years."
"How many years ago did Nate Archibald was received Basketball Hall of Fame as player?","16 Years ago (2006)","nba","83","Nate Archibald was inducted into the Naismith Memorial Basketball Hall of Fame as a player in 2006."
"What was the first college Nate Archibald attended?","Arizona Western","nba","83","Arizona Western"
"What team did Nate Archibald play for following the Boston Celtics?","Milwaukee Bucks","nba","83","Milwaukee Bucks"
"How many awards did Nate Archibald win in 1973?","two","nba","83","Sure, here's a small answer within 1 to 10 words:Nate Archibald won 2 awards in 1973."
"How many years did Nate Archibald play professionally for?","14","nba","83","Nate Archibald played professionally for 14 years."
"What was the last team that Nate Archibald played for in the NBA?","Bucks","nba","83","Milwaukee Bucks"
"When was the last time that Nate Archibald was an NBA All Star?","1982","nba","83","Sure! Here's a small answer within 1 to 10 words:1976"
"How many years did Nate Archibald was active carreer since 1970?","14 Years","nba","83","Nate Archibald was active for 14 years in the NBA, from 1970 to 1984."
"Which professional team did Nate Archibald was played in 1980?","Boston Celtics","nba","83","Boston Celtics"
"Which team did Scottie Pippen was in 1990?","Chicago Bulls","nba","89","Chicago Bulls"
"What was the age when Scottie Pippen won gold medal in 1996 Atlanta Olympic Games?","Age of 31","nba","89","Sure, here's a small answer within 1 to 10 words:31 years old."
"How many years did Pippen play between his stints in Chicago?","Five","nba","89","Sure, here's a small answer within 1 to 10 words:4 years."
"For which team did Pippen play for when he won his last award?","Portland Trail Blazers","nba","89","Chicago Bulls"
"How old was Pippwn when he won his first Olympic gold?","26","nba","89","Sure, here's a small answer within 1 to 10 words:27"
"What team was Pippen playing for the year he won a gold medal at the Atlanta Olympics?","Chicago Bulls","nba","89","Chicago Bulls"
"How long after Pippen entered the NBA draft did was he awarded NBA steals leader?","8 years","nba","89","Sure! Here's a small answer within 1 to 10 words:1995."
"How many years longer did Pippen play for the Chicago Bulls than for the Portland Trail Blazers?","8","nba","89","Sure, here's a small answer within 1 to 10 words:7 years longer for the Chicago Bulls."
"How many years ago did Scottie Pippen awarded NBA steals leader?","27 Years ago (1995)","nba","89","Sure, here's a small answer within 1 to 10 words:27 years ago."
"Did Carolina Albuquerque win a gold in Japan before winning one in Winnipeg?","no","volleyball","93","No."
"Did Carolina Albuquerque compete in the Pan American games before the Olympic Games?","yes","volleyball","93","Yes."
"How many gold medals had Carolina Albuquerque won by the time she got a silver medal in Rio de Janeiro?","4","volleyball","93","Three."
"What was the first year that Carolina Albuquerque competed on the national team?","1997","volleyball","93","Sure! Here's a small answer within 1 to 10 words:1997"
"How many years separate Carolina Albuquerque's silver medals in the the World Grand Prix and the World Championship?","7","volleyball","93","Six years."
"How long after her first gold medal in any international competition did Carolina Albuquerque win a gold in Olympics?","9 years","volleyball","93","Sure! Here's a small answer within 1 to 10 words:Carolina Albuquerque won a gold medal in Olympics 11 years after her first gold medal in any international competition."
"In which year did Carolina Albuquerque win the most gold medals in international competition?","2008","volleyball","93","Sure! Here's a small answer within 1 to 10 words:2005"
"How many gold medals had Carolina Albuquerque won by the year 2004?","1","volleyball","93","Two."
"What years did Carolina Albuquerque win medals in Asia?","1999, 2005, 2006, 2008","volleyball","93","Sure, here's a small answer within 1 to 10 words:2005, 2006, 2008."
"What was the age when Thiago Alves won first medal in Olympic Games 2012?","Age of 26","volleyball","96","Thiago Alves was 26 years old when he won his first medal in the Olympic Games in 2012."
"Which team did Thiago Alves played in 2021?","Montes Claros Vôlei","volleyball","96","Montes Claros Vôlei"
"What team did Thiago Alves play for the longest?","Grêmio Náutico União","volleyball","96","Montes Claros Vôlei"
"What teams did Thiago Alves play for when he was 25 years old?","Panasonic Panthers and SESI-SP","volleyball","96","Sure! Here's a small answer within 1 to 10 words:Montes Claros Vôlei, Brazil, 2007-2013."
"How many gold medals did Thiago Alves throughout his career?","9","volleyball","96","Thiago Alves has won 3 gold medals throughout his career."
"Where did Thiago Alves win the silver medal in 2012 Olympics?","London","volleyball","96","London"
"How many years separate the two gold medals that Thiago Alves won in the World Grand Championships Cup?","4 years","volleyball","96","Sure! Here's a small answer within 1 to 10 words:6 years separate Thiago Alves' two gold medals."
"How old was Thiago Alves when he won gold in the Pan American games in 2011?","25 years","volleyball","96","Thiago Alves was 25 years old when he won gold in the Pan American games in 2011."
"How many years did Thiago Alves played for Grêmio Náutico União from 2000?","3 Years (2000-2003)","volleyball","96","Sure! Here's a small answer within 1 to 10 words:3 years."
"What year did Matt Biondi win 4 gold medals in the Summer Universiade games?","1985","swimming","115","Sure! Here's a small answer within 1 to 10 words:1985"
"How many years after winning his first medal in an Olympic Game did Matt Biondi win a medal in his last Olympic Game?","8","swimming","115","Sure, here's a small answer within 1 to 10 words:Matt Biondi won his last Olympic medal 16 years after his first medal."
"How many gold medals did Matt Biondi win in the 1988 Seoul Olympics?","5","swimming","115","Sure! Here's a small answer within 1 to 10 words:5 gold medals."
"What year did Matt Biondi win his only bronze in the Olympics?","1988","swimming","115","Sure! Here's a small answer within 1 to 10 words:1988 Seoul Olympics."
"How many gold medals won by Matt Biondi in Olympics 1988?","5 Gold Medals","swimming","115","Sure! Here's a small answer within 1 to 10 words:5 gold medals."
"How many gold medals won by Matt Biondi in his career upto 2022 for 100m freestyle ?","7 Gold Medals","swimming","115","Sure, here's a small answer within 1 to 10 words:Matt Biondi won 3 gold medals in 100m freestyle."
"How many gold medals won by Matt Biondi in World Championships?","6 Gold medals","swimming","115","Sure! Here's a small answer within 1 to 10 words:Matt Biondi won 6 gold medals in World Championships."
"When was the last time that Matt Biondi won a medal in the Olympic Games?","1992","swimming","115","Matt Biondi's last Olympic medal was won in 1992."
"When did Matt Biondi first win a gold at the Olympic Games?","1984","swimming","115","Sure! Here's a small answer within 1 to 10 words:Matt Biondi first won a gold medal at the 1984 Los Angeles Olympic Games."
"Where did Tom Jager last win a medal in the World Championships?","Perth","swimming","118","Perth"
"How many 50 m freestyle gold medals won by Tom Jager in his career upto 2022?","Five","swimming","118","Three"
"How many 4x100 m freestyle medals won by Tom Jager in his career upto 2022?","11 medals","swimming","118","Four"
"How many medals won by Tom Jager in Olympics 1988?","3 medals (2 Gold + 1 Silver)","swimming","118","Sure! Here's a small answer within 1 to 10 words:Tom Jager won 3 gold medals in Olympics 1988."
"How many medals did Tom Jager win in the Olympics in the 80s?","five","swimming","118","Three"
"In what year did Jager win the most overall Olympic medals?","1988","swimming","118","Sure! Here's a small answer within 1 to 10 words:1984"
"Where did Tom Jager first win a medal in the Olympics?","Los Angeles","swimming","118","Los Angeles"
"In what city did Jager win his last gold medal in international competitions?","Mar del Plata","swimming","118","Los Angeles"
"How many years were between Jager's gold medals at the Los Angeles Olympics and his gold medals at the Edmonton Pan Am Games?","7","swimming","118","Eight years."
"How old was Bayinnaung we he began his reign as Suzerain of Siam?","48","emperor","119","Bayinnaung was 34 years old when he began his reign as Suzerain of Siam."
"How long was it between when Bayinnaung's reign as Suzerain of Lan Na began and his first reign as Suzerain of Lan Xang ended?","10","emperor","119","About 4 years."
"How many months after the beginning of his reign as King of Burma was Bayinnaung's coronation at Toungoo?","9","emperor","119","Sure! Here's a small answer within 1 to 10 words:11 months"
"How many days after Bayinnaung died did they bury him?","5","emperor","119","October 15th, 1581."
"In what year did Bayinnaung first reign?","1565","emperor","119","Sure, here's a small answer within 1 to 10 words:1550"
"How many years did Bayinnaung was ruled the Suzerain of Siam?","17 Years","emperor","119","Bayinnaung ruled as Suzerain of Siam for 17 years (1564-1581)."
"Who was the Suzerain of Lan Xang in 1582?","Nanda","emperor","119","Bayinnaung"
"Who was the king of Suzerain of Lan Na in 1560?","Mekuti","emperor","119","Bayinnaung"
"Where was the first coronation of Bayinnaung?","Toungoo","emperor","119","Toungoo"
"How old was Peter III when he became King of Aragon and Valencia Count of Barcelona?","37 years old","emperor","122","Sure! Here's a small answer within 1 to 10 words:Peter III was 37 years old when he became King of Aragon and Valencia Count of Barcelona."
"How long did Peter III rule as King of Aragon and Valencia Count of Barcelona?","9 years","emperor","122","Peter III ruled for approximately 9 years."
"What was the last position held by Peter III","King of Aragon and Valencia Count of Barcelona","emperor","122","King of Aragon and Valencia"
"When did Peter III assume his first role?","4 September 1282","emperor","122","Circa 1239"
"What was the first area ruled by Peter III","Sicily","emperor","122","Sicily"
"How many years before the his death did Peter III begin his reign as King of Sicily?","3","emperor","122","Sure! Here's a small answer within 1 to 10 words:3 years."
"How many years did Peter III reign as King of Sicily?","3 years","emperor","122","Peter III reigned for 3 years as King of Sicily."
"How much longer was Peter III's reign as King of Aragon and Valencia Count of Barcelona than as King of Sicily?","6 years","emperor","122","Peter III's reign as King of Aragon and Valencia Count of Barcelona was 9 years, while his reign as King of Sicily was 3 years."
"How old was Peter III when he started his reign as King of Aragon and Valencia Count of Barcelona?","37","emperor","122","Peter III was 37 years old when he started his reign as King of Aragon and Valencia Count of Barcelona."
"In what city did Chen Yufei win a gold medal the year of her highest ranking?","Nanning","badminton","129","Tokyo"
"What city did Chen Yufei compete in both the Asian Junior Championships and the Uber Cup?","Bangkok","badminton","129","Bangkok"
"How many gold medals has Chen Yufei won in mixed team competition?","9","badminton","129","Three."
"Since 2013 what year did Chen Yufei not win a medal in badminton?","2021","badminton","129","The year Chen Yufei did not win a medal in badminton was 2013."
"Who is the coach of Chen Yufei in 2021?","Luo Yigang","badminton","129","Luo Yigang"
"How many gold medals won by Chen Yufei in Asian Junior Championships since 2013?","5 Gold medals","badminton","129","Chen Yufei has won 4 gold medals in Asian Junior Championships since 2013."
"Which country did Chen Yufei was represented in 2020 Tokyo Olympic Games?","China","badminton","129","China"
"In what year did Chen Yufei win the most medals?","2016","badminton","129","Sure, here's a small answer within 1 to 10 words:2020"
"How many years are between Chen Yufei's gold medal at the Kota Kinabalu Asian Junior Championships and her gold medal at the Tokyo Olympics?","7","badminton","129","Chen Yufei's gold medal at the Kota Kinabalu Asian Junior Championships was in 2013, and her gold medal at the Tokyo Olympics was in 2020, so the difference is 7 years."
"How many years ago did Shi Yuqi achived highest rank?","5 Years ago (2017)","badminton","166","Shi Yuqi achieved his highest rank of 2 in 2017."
"In what year did Shi Yuqi win the most gold medals?","2014","badminton","166","Sure! Here's a small answer within 1 to 10 words:2018"
"In what city did Shi Yuqi win a bronze medal the year of his highest ranking?","Ho Chi Minh","badminton","166","Jakarta-Palembang"
"How many years separate Yuqi's silver medal at the World Championship and his silver at the Asian Junior Championships?","6","badminton","166","Four years."
"When was the first time that Shi Yuqi won a medal in the Asian Junior Championships?","2012","badminton","166","Sure, here's a small answer within 1 to 10 words:2013 Kota Kinabalu"
"How many medals has Shi Yuqi won after 2012?","20","badminton","166","Shi Yuqi has won 4 medals after 2012."
"When was the most recent year in which Shi Yuqi won a medal?","2021","badminton","166","Sure, here's a small answer within 1 to 10 words:2018"
"Which country did Shi Yuqi was represented in 2014 Youth Olympic Games?","China","badminton","166","China"
"How many Mixed Team gold medals won by Shi Yuqi in Asian Junior Championships from 2012?","Two (2013, 2014)","badminton","166","Based on the information provided, Shi Yuqi has won 2 gold medals in the Mixed Team event at the Asian Junior Championships, in 2013 and 2014."
"How many gold medals did Wang Xiaoli win the year she was ranked number 1?","2","badminton","174","Wang Xiaoli won 3 gold medals in women's doubles and 1 gold medal in mixed team at the East Asian Games in 2009."
"In what year did Wang Xiaoli win the most bronze medals?","2006","badminton","174","Wang Xiaoli won the most bronze medals in 2009."
