"question","actual_answer","category","table_id","predicted_answer"
"How many years separate the time Sam Snead began playing professionally and his death?","68 years","golf","70","Sam Snead died on May 23, 2002, and he began playing professionally in 1934, so the answer is 68 years."
"How many years before he married Audrey Karnes Snead did Snead begin his pro career?","6","golf","70","Sam Snead began his pro career in 1934, and he married Audrey Karnes Snead in 1940, so the answer is 6 years."
"How many championships and awards did Snead win in 1949?","5","golf","70","In 1949, Sam Snead won 3 championships:* Masters Tournament* PGA Championship* The Open ChampionshipHe also won the Vardon Trophy and was named PGA Golfer of the Year in 1949."
"How long after starting his pro career did Snead win his first championship?","8 years","golf","70","Sam Snead won his first championship, the 1942 PGA Championship, 8 years after turning professional in 1934."
"How old was Sam Snead when he turned professional?","32","golf","70","22 years old"
"What year was Chuck Howley drafted into the NFL?","1958","rugby","74","1958"
"How many years did Chuck Howley play for the Los Raiders?","12","rugby","74","Chuck Howley played for the Los Raiders for 13 years (1961-1973)."
"What was the total number of years that Chuck Howley was a 5× First-team All-Pro?","4","rugby","74","Sure! Here's the answer to the question:5 years"
"How many times did Chuck Howley play in the Pro Bowl when he was with the Raiders?","6","rugby","74","6 times"
"How old was Chuck Howley when his NFL career began?","22","rugby","74","22 years old"
"What team did Chuck Howley play for the year he made the Second-team All-Pro?","Raiders","rugby","74","The team that Chuck Howley played for the year he made the Second-team All-Pro was the Los Angeles Raiders."
"What team did Chuck Howley play for first?","Chicago Bears","rugby","74","Chicago Bears"
"What team did Chuck Howley end his career playing for?","Raiders","rugby","74","Los Angeles Raiders"
"When was the last year that Chuck Howley played in the Pro Bowl?","1971","rugby","74","The last year that Chuck Howley played in the Pro Bowl was 1971."
"During what year did Manning receive the most awards or highlights?","2003","rugby","75","Sure! Here's the answer to the question:The year during which Manning received the most awards or highlights was 2011. In this year, he won Super Bowl XLVI with the New York Giants, was named Super Bowl MVP, and was selected to the Pro Bowl. Additionally, he set the NFL record for most passing yards in a single postseason with 1,219 yards."
"What career highlight did Manning achieve the year had 1,219 passing yards?","Pro Bowl","rugby","75","The career highlight that Eli Manning achieved the year he had 1,219 passing yards was his Super Bowl MVP performance in Super Bowl XLVI."
"How many years longer did Manning play for the New York Giants than Ole Miss?","11","rugby","75","Eli Manning played for the New York Giants for 15 years (2004-2019), while he played for Ole Miss for 4 years (1999-2003).Therefore, the difference in years between Manning's tenure with the New York Giants and his time at Ole Miss is 11 years (15 - 4)."
"In 2011 how many passing yards in a single postseason did Eli Manning have?","1,219 yards","rugby","75","1,219 yards"
"What were the number of years that Eli Manning played for the Giants before he won the Walter Payton NFL Man of the Year in 2016?","12 years","rugby","75","Sure! Here's the answer to the question:Eli Manning played for the New York Giants for 12 years (2004-2019) before winning the Walter Payton NFL Man of the Year award in 2016."
"What year was Eli Manning drafted into the NFL?","2004","rugby","75","2004"
"How many years did Eli Manning play for the New York Giants?","15","rugby","75","Eli Manning played for the New York Giants for 15 years (2004-2019)."
"How many years did Eli Manning attend school at Ole Miss?","4 years","rugby","75","4 years"
"How many years after Eli Manning attended Ole Miss did he win the Bart Starr award?","21 years","rugby","75","Sure! Here's the answer to the question:The Bart Starr Award was won by Eli Manning in 2020, which is 17 years after he attended Ole Miss."
"What college did James Worthy attend in 1980?","North Carolina","nba","81","North Carolina"
"How many years did James Worthy play professionally?","12 years","nba","81","James Worthy played professionally for 12 years (1982-1994)."
"When was the last time that James Worthy played in an NBA All Stars game?","1992","nba","81","Sure! Here's the answer to the question:The last time James Worthy played in an NBA All-Star game was in 1992."
"When was the first time that James worthy was chosen as an All-American player?","1978","nba","81","Sure! Here's the answer to the question:1982"
"For how many years did James Worthy play for the NBA?","12","nba","81","Sure! Here's the answer to the question:James Worthy played for the NBA for 12 years (1982-1994)."
"How many years after winning the gold medal at the FIBA U19 World Championship did Worthy enter the draft?","3","nba","81","James Worthy entered the draft in 1982, 3 years after winning the gold medal at the FIBA U19 World Championship in 1979."
"How many awards and highlights did Worthy have in the same year as the last year he was in college?","5","nba","81","In the same year that James Worthy was in college (1982), he had the following awards and highlights:* NCAA champion* NCAA Final Four Most Outstanding Player* Consensus first-team All-American* First-team All-ACC* ACC Tournament MVPSo, the answer is 5."
"How long after Worthy's NBA career began did he win his first NBA championship?","3 years","nba","81","Sure! Here's the answer to the question:James Worthy won his first NBA championship in 1985, which was 3 years after his NBA career began in 1982."
"How long had James Worthy been playing professionally when he won the NCAA Championship?","1","nba","81","James Worthy had been playing professionally for 1 year when he won the NCAA Championship in 1982."
"How many years ago did Nate Archibald was received Basketball Hall of Fame as player?","16 Years ago (2006)","nba","83","Nate Archibald was inducted into the Naismith Memorial Basketball Hall of Fame as a player in 1991. Therefore, as of the current year (2022), it has been 31 years since he was inducted."
"What was the first college Nate Archibald attended?","Arizona Western","nba","83","Arizona Western (1966-1967)"
"What team did Nate Archibald play for following the Boston Celtics?","Milwaukee Bucks","nba","83","Milwaukee Bucks"
"How many awards did Nate Archibald win in 1973?","two","nba","83","In 1973, Nate Archibald won the following awards:* NBA scoring champion* NBA assists leader* 6× NBA All-Star (1973, 1975, 1976, 1980-1982)* NBA All-Star Game MVP (1981)* 3× All-NBA First Team (1973, 1975, 1976)* 2× All-NBA Second Team (1972, 1981)"
"How many years did Nate Archibald play professionally for?","14","nba","83","Nate Archibald played professionally for 14 years (1970-1984)."
"What was the last team that Nate Archibald played for in the NBA?","Bucks","nba","83","Milwaukee Bucks"
"When was the last time that Nate Archibald was an NBA All Star?","1982","nba","83","The last time Nate Archibald was an NBA All-Star was in 1982."
"How many years did Nate Archibald was active carreer since 1970?","14 Years","nba","83","Nate Archibald was active in his NBA career for 14 years, from 1970 to 1984."
"Which professional team did Nate Archibald was played in 1980?","Boston Celtics","nba","83","The professional team that Nate Archibald played for in 1980 was the Boston Celtics."
"Which team did Scottie Pippen was in 1990?","Chicago Bulls","nba","89","Chicago Bulls"
"What was the age when Scottie Pippen won gold medal in 1996 Atlanta Olympic Games?","Age of 31","nba","89","31 years old"
"How many years did Pippen play between his stints in Chicago?","Five","nba","89","Sure! Here's the answer to the question:Between his stints in Chicago, Pippen played for the Houston Rockets and the Portland Trail Blazers.Here's the relevant information from the context:* Scottie Pippen played for the Chicago Bulls from 1987 to 1998.* He played for the Houston Rockets in 1999.* He played for the Portland Trail Blazers from 1999 to 2003.* He played for the Chicago Bulls again from 2003 to 2004.So, the answer to the question is: Pippen played for 4 years between his stints in Chicago."
"For which team did Pippen play for when he won his last award?","Portland Trail Blazers","nba","89","Chicago Bulls"
"How old was Pippwn when he won his first Olympic gold?","26","nba","89","27 years old"
"What team was Pippen playing for the year he won a gold medal at the Atlanta Olympics?","Chicago Bulls","nba","89","Chicago Bulls"
"How long after Pippen entered the NBA draft did was he awarded NBA steals leader?","8 years","nba","89","Sure! Here's the answer to the question:Scottie Pippen was awarded NBA steals leader in 1995, 18 years after he entered the NBA draft in 1987."
"How many years longer did Pippen play for the Chicago Bulls than for the Portland Trail Blazers?","8","nba","89","Sure! Here's the answer to the question:Scottie Pippen played for the Chicago Bulls for 11 years (1987-1998, 2003-2004), and for the Portland Trail Blazers for 4 years (1999-2003).Therefore, Pippen played for the Bulls for 7 years longer than he played for the Trail Blazers."
"How many years ago did Scottie Pippen awarded NBA steals leader?","27 Years ago (1995)","nba","89","Sure! Here's the answer to the question:Scottie Pippen was awarded NBA steals leader in 1995. Therefore, as of the current year (2022), it has been 27 years since Scottie Pippen was awarded NBA steals leader."
"Did Carolina Albuquerque win a gold in Japan before winning one in Winnipeg?","no","volleyball","93","Yes, Carolina Albuquerque won a gold medal at the 2005 World Grand Champions Cup in Japan before winning a gold medal at the 1999 Pan American Games in Winnipeg."
"Did Carolina Albuquerque compete in the Pan American games before the Olympic Games?","yes","volleyball","93","Yes"
"How many gold medals had Carolina Albuquerque won by the time she got a silver medal in Rio de Janeiro?","4","volleyball","93","Carolina Albuquerque had won 4 gold medals by the time she got a silver medal in Rio de Janeiro."
"What was the first year that Carolina Albuquerque competed on the national team?","1997","volleyball","93","Sure! Here's the answer to the question:1997"
"How many years separate Carolina Albuquerque's silver medals in the the World Grand Prix and the World Championship?","7","volleyball","93","The answer to the question is 2 years. Carolina Albuquerque won the silver medal in the World Grand Prix in 2006 and the silver medal in the World Championship in 2008, so the difference between the two medals is 2 years."
"How long after her first gold medal in any international competition did Carolina Albuquerque win a gold in Olympics?","9 years","volleyball","93","One year. Carolina Albuquerque won a gold medal in the World Grand Champions Cup in 2005, and then won a gold medal in the Olympic Games in 2008, with a silver medal in the Pan American Games in 2007 in between."
"In which year did Carolina Albuquerque win the most gold medals in international competition?","2008","volleyball","93","Sure! The answer to the question is 2005. Carolina Albuquerque won the most gold medals in international competition in 2005, specifically at the World Grand Champions Cup and the World Grand Prix."
"How many gold medals had Carolina Albuquerque won by the year 2004?","1","volleyball","93","By the year 2004, Carolina Albuquerque had won 1 gold medal."
"What years did Carolina Albuquerque win medals in Asia?","1999, 2005, 2006, 2008","volleyball","93","Sure! Here's the answer to your question:1999, 2005, 2006, 2007, 2008"
"What was the age when Thiago Alves won first medal in Olympic Games 2012?","Age of 26","volleyball","96","26 years old"
"Which team did Thiago Alves played in 2021?","Montes Claros Vôlei","volleyball","96","Montes Claros Vôlei"
"What team did Thiago Alves play for the longest?","Grêmio Náutico União","volleyball","96","Montes Claros Vôlei"
"What teams did Thiago Alves play for when he was 25 years old?","Panasonic Panthers and SESI-SP","volleyball","96","Sure! Based on the information provided, the teams that Thiago Alves played for when he was 25 years old were:* Cimed/Florianópolis* Cimed Malwee* SESI-SPThiago Alves was 25 years old in 2011, and he played for these three teams that year."
"How many gold medals did Thiago Alves throughout his career?","9","volleyball","96","Thiago Alves has won 3 gold medals throughout his career:1. 2009 Japan - World Grand Champions Cup2. 2013 Japan - World Grand Champions Cup3. 2011 Guadalajara - Pan American Games"
"Where did Thiago Alves win the silver medal in 2012 Olympics?","London","volleyball","96","London"
"How many years separate the two gold medals that Thiago Alves won in the World Grand Championships Cup?","4 years","volleyball","96","Four years separate the two gold medals that Thiago Alves won in the World Grand Champions Cup, in 2009 and 2013."
"How old was Thiago Alves when he won gold in the Pan American games in 2011?","25 years","volleyball","96","25 years old"
"How many years did Thiago Alves played for Grêmio Náutico União from 2000?","3 Years (2000-2003)","volleyball","96","Thiago Alves played for Grêmio Náutico União from 2000 to 2003, for a total of 3 years."
"What year did Matt Biondi win 4 gold medals in the Summer Universiade games?","1985","swimming","115","The year that Matt Biondi won 4 gold medals in the Summer Universiade games was 1985."
"How many years after winning his first medal in an Olympic Game did Matt Biondi win a medal in his last Olympic Game?","8","swimming","115","Matt Biondi won his last Olympic medal in 1992, 8 years after winning his first medal in 1984."
"How many gold medals did Matt Biondi win in the 1988 Seoul Olympics?","5","swimming","115","Matt Biondi won 3 gold medals in the 1988 Seoul Olympics."
"What year did Matt Biondi win his only bronze in the Olympics?","1988","swimming","115","Bronze medal - third place | 1988 Seoul | 200 m freestyle"
"How many gold medals won by Matt Biondi in Olympics 1988?","5 Gold Medals","swimming","115","Matt Biondi won 3 gold medals in the 1988 Seoul Olympics."
"How many gold medals won by Matt Biondi in his career upto 2022 for 100m freestyle ?","7 Gold Medals","swimming","115","Matt Biondi has won 3 gold medals in his career for the 100m freestyle event, all of them at the Olympic Games, in 1988, 1992, and 1996."
"How many gold medals won by Matt Biondi in World Championships?","6 Gold medals","swimming","115","Matt Biondi won 6 gold medals in World Championships."
"When was the last time that Matt Biondi won a medal in the Olympic Games?","1992","swimming","115","The last time Matt Biondi won a medal in the Olympic Games was in 1992, when he won a gold medal in the 4x100m medley and a silver medal in the 50m freestyle at the Barcelona Olympics."
"When did Matt Biondi first win a gold at the Olympic Games?","1984","swimming","115","Matt Biondi first won a gold medal at the Olympic Games in 1984, at the age of 21, in the 4x100m freestyle event."
"Where did Tom Jager last win a medal in the World Championships?","Perth","swimming","118","The last time Tom Jager won a medal in the World Championships was in 1991 in Perth, where he won gold medals in the 50m freestyle and 4x100m freestyle events."
"How many 50 m freestyle gold medals won by Tom Jager in his career upto 2022?","Five","swimming","118","Tom Jager has won 3 gold medals in 50 m freestyle in his career up to 2022, at the 1986 Madrid World Championships, 1991 Perth World Championships, and 1987 Brisbane Pan Pacific Games."
"How many 4x100 m freestyle medals won by Tom Jager in his career upto 2022?","11 medals","swimming","118","Tom Jager has won 4 Olympic gold medals in the 4x100 m freestyle event in his career up to 2022."
"How many medals won by Tom Jager in Olympics 1988?","3 medals (2 Gold + 1 Silver)","swimming","118","Tom Jager won 2 medals in the 1988 Olympics:* Gold medal in the 4x100m freestyle event* Gold medal in the 4x100m medley event"
"How many medals did Tom Jager win in the Olympics in the 80s?","five","swimming","118","Tom Jager won 3 medals in the Olympics in the 80s:* Gold medal in the 4x100m freestyle at the 1984 Los Angeles Olympics* Gold medal in the 4x100m medley at the 1984 Los Angeles Olympics* Gold medal in the 4x100m freestyle at the 1988 Seoul Olympics"
"In what year did Jager win the most overall Olympic medals?","1988","swimming","118","The year in which Tom Jager won the most overall Olympic medals was 1988. He won 2 gold medals and 1 silver medal at the Seoul Olympics that year."
"Where did Tom Jager first win a medal in the Olympics?","Los Angeles","swimming","118","Los Angeles"
"In what city did Jager win his last gold medal in international competitions?","Mar del Plata","swimming","118","Barcelona"
"How many years were between Jager's gold medals at the Los Angeles Olympics and his gold medals at the Edmonton Pan Am Games?","7","swimming","118","The answer to the question is 11 years. Jager won gold medals at the Los Angeles Olympics in 1984, and he won gold medals at the Edmonton Pan Am Games in 1995, 11 years later."
"How old was Bayinnaung we he began his reign as Suzerain of Siam?","48","emperor","119","Bayinnaung was 44 years old when he began his reign as Suzerain of Siam."
"How long was it between when Bayinnaung's reign as Suzerain of Lan Na began and his first reign as Suzerain of Lan Xang ended?","10","emperor","119","The answer to the question ""How long was it between when Bayinnaung's reign as Suzerain of Lan Na began and his first reign as Suzerain of Lan Xang ended?"" is 2 years and 11 months.Bayinnaung's reign as Suzerain of Lan Na began on 2 April 1558, and his first reign as Suzerain of Lan Xang ended in January 1568. Therefore, the difference between the two dates is 2 years and 11 months."
