"question","answer","category","table_id","predicted_answer"
"How many years did Marco Sanath Jayasuriya was played for his national team?","22 Years (1989-2011)","cricket","56","Sure, here's a small answer within 1 to 10 words:Sanath Jayasuriya played for Sri Lanka for 22 years."
"What was the third team that Sanath Jayasuriya played for?","Lancashire","cricket","56","Sure! Here's a small answer within 1 to 10 words:Bloomfield."
"What was the first team that Sanath Jayasuriya played for?","Bloomfield","cricket","56","Bloomfield"
"For how many years did Sanath Jayasuriya play for Bloomfield?","17","cricket","56","Sure! Here's a small answer within 1 to 10 words:Sanath Jayasuriya played for Bloomfield for 17 years (1994-2011)."
"How long after his first year playing for Bloomfield did Jayasuriya play for the Khulna Royal Bengals?","18 years","cricket","56","Sure! Here's a small answer within 1 to 10 words:He played for the Khulna Royal Bengals in 2012."
"What team did Jayasuriya play for during the year of his last test?","Lancashire","cricket","56","Sure, here's a small answer within 1 to 10 words:Sri Lanka"
"How old was Jayasuriya when he started playing for Bloomfield?","25","cricket","56","Sure! Here's a small answer within 1 to 10 words:Jayasuriya was 21 years old when he started playing for Bloomfield."
"How much longer did Richards play for Leeward Islands than Glamorgan?","7 years","cricket","57","Sure, here's a small answer within 1 to 10 words:Richards played for Leeward Islands for 21 years, while he played for Glamorgan for 3 years."
"Which domestice team did Viv Richards was played in 1980?","Somerset","cricket","57","Combined Islands"
"How many years did Viv Richards played for west indies?","17 Years","cricket","57","Sure! Here's a small answer within 1 to 10 words:Viv Richards played for West Indies for 17 years."
"How many years ago did Viv Richards first debut in ODI?","47 Years ago","cricket","57","Sure! Here's a small answer within 1 to 10 words:47 years ago."
"When did Viv Richards start playing domestically?","1971","cricket","57","Sure! Here's a small answer within 1 to 10 words:1971"
"What was the last team that Viv Richards was associated with domestically?","Glamorgan","cricket","57","Glamorgan"
"For how many years did Viv Richards play domestically?","22","cricket","57","Sure, here's a small answer within 1 to 10 words:Viv Richards played domestically for 21 years."
"How many years between Richard's ODI debut and his last year playing for Somerset?","11","cricket","57","Sure, here's a small answer within 1 to 10 words:29 years"
"What domestic team did Richards play for during his Test debut?","Combined Islands","cricket","57","Combined Islands"
"How many more years did Alejandro Valverde spend in Illes Balears–Banesto than Kelme–Costa Blanca?","three","cycling","99","Sure, here's a small answer within 1 to 10 words:Valverde spent 5 years in Illes Balears-Banesto, while Kelme-Costa Blanca lasted 3 years."
"How many individual stages did Alejandro Valverde win in the 2010's in the Tour de France?","one","cycling","99","Sure! Here's a small answer within 1 to 10 words:4 individual stages."
"What was the year of Alejandro Valverde's first Tour De France victory?","2005","cycling","99","Sure! Here's a small answer within 1 to 10 words:2009."
"How many bronze medals did Alejandro Valverde win from 2000-2009?","two","cycling","99","Sure! Here's a small answer within 1 to 10 words:3 bronze medals."
"How much longer was Valverde on the Puente Tocinos  team than Illes Balears–Banesto?","4 years","cycling","99","Valverde was on the Puente Tocinos team for 9 years (1989-1998), while he was on the Illes Balears-Banesto team for 5 years (2005-2010). Therefore, Valverde was on the Puente Tocinos team 4 years longer than he was on the Illes Balears-Banesto team."
"What team did Valverde ride for the year he won silver at the Hamilton World Championships?","Kelme–Costa Blanca","cycling","99","Movistar Team"
"How many major wins did Valverde have in 2008?","6","cycling","99","Sure! Here's a small answer within 1 to 10 words:2008 - 1 major win."
"What professional team did Alejandro Valverde represent during the time before he was on Illes Balears–Banesto?","Kelme–Costa Blanca","cycling","99","Kelme-Costa Blanca"
"After Alejandro Valverde won the 2001 Mediterranean games bronze medal, what year did he win his next medal he won at the world championships?","2005 in Madrid","cycling","99","Sure! Here's a small answer within 1 to 10 words:2003"
"How many times did Felice Gimondi  participated in National Road Race Championships?","2 Times","cycling","100","Twice."
"How old was Felice Gimondi when he won a silver medal at the  UCI Road World Championships?","29","cycling","100","Sure! Here's a small answer within 1 to 10 words:Felice Gimondi was 31 years old when he won a silver medal at the 1971 UCI Road World Championships."
"Which professional team was Felice Gimondi for longer?","Salvarani","cycling","100","Bianchi-Campagnolo"
"What was the second professional team that Felice Gimondi was a part of?","Bianchi–Campagnolo","cycling","100","Bianchi-Campagnolo"
"When did Felice Gimondi win his first medal in competition?","1970","cycling","100","Sure! Here's a small answer within 1 to 10 words:1973 - Gold medal in Elite road race at UCI Road World Championships."
"In what city did Felice Gimondi win a medal the same year as his second appearance at the Giro di Lombardia?","Barcelona","cycling","100","Milan"
"How many gold medals won by Felice Gimondi in UCI Road World Championships 1973?","One (Gold)","cycling","100","Sure! Here's a small answer within 1 to 10 words:1 gold medal."
"What professional team did Felice Gimondi ride for during the Tour de Romandie?","Salvarani","cycling","100","Bianchi-Campagnolo"
"Which team did Felice Gimondi was played 1970?","Salvarani","cycling","100","Salvarani"
"How old was Moser when he first rode for Famcucine–Campagnolo?","30","cycling","101","Moser was 22 years old when he first rode for Famcucine–Campagnolo."
"What international competition did Moser win gold at the year he won the World Road Race Championships?","San Christóbal World Championships","cycling","101","The international competition that Francesco Moser won gold at in the year he won the World Road Race Championships was the 1976 Monteroni di Lecce Individual Pursuit at the World Championships."
"How old was Francesco Moser when he played for Sanson?","25 years old","cycling","101","Francesco Moser was 25 years old when he played for Sanson."
"Where did Francesco Moser win a gold medal in 1976?","Monteroni di Lecce World Championships","cycling","101","Monteroni di Lecce"
"What medal did Monteroni di Lecce win at the 1977 San Christóbal World Championships?","Gold","cycling","101","Gold medal - first place | 1976 Monteroni di Lecce | Individual pursuit"
"Which professional team did Francesco Moser was played in 1984?","Gis Gelati","cycling","101","Gis Gelati"
"How many gold medals won by Hugo Calderano in singles from 1976?","2 Gold Medals (1976, 1977)","cycling","101","Zero."
"How many major wins did Moser have during the time he rode for Gis Gelati?","5","cycling","101","During the time Francesco Moser rode for Gis Gelati, he won 3 major races."
"How many National Road Race Championships was participated by Francesco Moser from 1973?","3 Times (1975, 1979, 1981)","cycling","101","Five."
"What was Gino Bartali's last stage race won?","Tour de Romandie","cycling","102","Giro d'Italia"
"How old was Gino Bartali when he joined his first professional team?","21","cycling","102","Gino Bartali was 21 years old when he joined his first professional team, Fréjus, in 1935."
"What professional team did Gino Bartali belong to during the Tour de Romandie?","Bartali–Gardiol","cycling","102","Legnano"
"How many one One-day races and Classics did Bartali ride in 1939?","4","cycling","102","Sure! Here's a small answer within 1 to 10 words:Bartali rode 5 One-day races and Classics in 1939."
"Who was the last team that Gino Bartali rode for in 1954?","Bartali–Brooklin","cycling","102","Bartali-Brooklin"
"When did Gino Bartali first join the amateur team?","1931","cycling","102","Gino Bartali first joined the amateur team in 1931."
"How long was Gino Bartali a part of the amateur team?","4 years","cycling","102","Gino Bartali was part of the amateur team for 4 years (1931-1934)."
"How old was Gino Bartali when he rode for the Fréjus team?","21 years old","cycling","102","Gino Bartali was 21 years old when he rode for the Fréjus team in 1935."
"How many total years did Gino Bartali ride for professional teams?","19 years","cycling","102","Gino Bartali rode for professional teams for 18 years."
"What team did Joop Zoetemelk play with professionally for the longest?","Gan–Mercier–Hutchinson","cycling","103","Gan-Mercier-Hutchinson"
"What professional team did Zoetemelk ride for the year the picture was taken?","Flandria–Mars","cycling","103","Flandria-Mars"
"How many years before Zoetemelk first won the Paris–Nice stage race did he win gold at the Olympics?","6","cycling","103","Six years."
"What year did Joop Zoetemelk win gold at the World Championships?","1985","cycling","103","Sure! Here's a small answer within 1 to 10 words:1985"
"What was the first year that Joop Zoetemelk played professionally?","1970","cycling","103","Sure! Here's a small answer within 1 to 10 words:1970"
"How many major wins Zoetemelk did have in 1979?","6","cycling","103","Two."
"What was the first team that Joop Zoetemelk played with professionally?","Flandria–Mars","cycling","103","Flandria-Mars"
"How many years separated the two gold medals that Joop Zoetemelk won in his career?","17 years","cycling","103","Four years."
"What medal did Joop Zoetemelk win in the 1968 Mexico City Olympics?","Gold","cycling","103","Gold medal - first place"
"For what world championship did Poulidor win a silver medal?","1974 Montreal","cycling","104","Silver medal - second place | 1974 Montréal | Road race"
"During what time did Poulildor join a professional team?","1960","cycling","104","Poulidor joined a professional team in 1960."
"When was Raymond Poulidor's best finish in a championship?","1974","cycling","104","Second place in the 1964 Vuelta a España."
"Which one day race was Poulidor in before the Grand prix des Nations?","La Fleche Wallonne","cycling","104","Milan-San Remo"
"When did Raymond Poulidor first get a medal in a championship?","1961","cycling","104","Silver medal - second place | 1974 Montréal | Road race"
"How many years did Raymond Poulidor win the silver medal for France before he died.","45","cycling","104","Four years."
"Which majors win had the most stages?","Tour de France","cycling","104","The majors win had the most stages is the Tour de France with 7 individual stages."
"How many goal medals did Raymond Poulidor win for France?","zero","cycling","104","Three"
"For how many years did Raymond Poulidor belong to a professional team?","17","cycling","104","Poulidor belonged to a professional team for 18 years (1960-1977)."
"How old was Sean Kelly when he joined his first professional team?","21","cycling","105","Sean Kelly was 21 years old when he joined his first professional team, Flandria-Velda-Latina Assicurazioni, in 1977."
"How many stage races did Kelly have in 1983?","3","cycling","105","Kelly had 3 stage races in 1983."
"What professional team did Kelly belong to the year he won a bronze medal at the Chambéry World Championships?","PDM–Concorde","cycling","105","Kas"
"What was Sean Kelly's most recent professional team?","Catavana","cycling","105","Catavana"
"How many years did Sean Kelly play for professional teams?","17 years","cycling","105","Sean Kelly played for professional teams for 16 years."
"In what year was the last time that Sean Kelly won a medal in the World Championships?","1989","cycling","105","Sure! Here's a small answer within 1 to 10 words:1982"
"How many years separate both Sean Kelly's World Championship appearances?","7 years","cycling","105","Sure! Here's a small answer within 1 to 10 words:7 years separate Sean Kelly's World Championship appearances."
"What was the first professional team that Sean Kelly played for?","Flandria–Velda–Latina Assicurazioni","cycling","105","Flandria-Velda-Latina Assicurazioni"
"When did Sean Kelly attend his first World Championships?","1982","cycling","105","Sure! Here's a small answer within 1 to 10 words:1982 Goodwood World Championships."
"When dis Ali Farag win his first team gold at the World Team Champioships?","2017","squash","106","Sure! Here's a small answer within 1 to 10 words:2017 Marseille World Team Championships."
"How old was Ali Farag when he turned professional?","17 years old","squash","106","Sure! Here's a small answer within 1 to 10 words:Ali Farag turned professional at age 17."
"How long after turning pro did Farag achieve his highest ranking?","13 years","squash","106","June 2022"
"At what age did Farag turn professional?","17","squash","106","Sure! Here's a small answer within 1 to 10 words:2009"
"How many years between the time Farag won Gold at the Cairo World Championships and gold at Marseille World Team Championships?","4","squash","106","Sure! Here's a small answer within 1 to 10 words:5 years."
"In which city did Ali Farag medal the most in the 21st century?","Chicago","squash","106","Cairo"
"How old did Ali Farag turn the year he turned pro?","17","squash","106","He turned pro at 17."
"How old did Ali Farag turn the year he reached number one?","30","squash","106","Sure, here's a small answer within 1 to 10 words:30 years old."
"How old was Ali Farag when he won his first team gold in the World Team Championships.","25 years old","squash","106","Sure! Here's a small answer within 1 to 10 words:22 years old."
"Did Joel Makin win his gold medal in Washington, D. C. within ten years of turning pro?","yes","squash","107","No."
"What year did Joel Makin gain his highest ranking?","2021","squash","107","December 2021"
"What year did Joel Makin turn professional?","2014","squash","107","Joel Makin turned professional in 2014."
"How old was Joel Makin when he won a bronze medal?","25 years old","squash","107","Joel Makin was 25 years old when he won a bronze medal."
"Was Joel Makin in his twenties when he won his bronze medal in Washington, D. C.?","yes","squash","107","No."
"Was Joel Makin a teenager when he attained his highest ranking?","no","squash","107","No."
"How many years are between Makin's current rank and when he won bronze at the World Team Championships?","3","squash","107","Three years."
"How many months after his 27th birthday did Makin achieve his highest rank?","2","squash","107","December 2021"
"How old was Joel Makin when he won Bronze at the World Team Championships?","25","squash","107","Joel Makin was 25 years old when he won Bronze at the World Team Championships in 2019."
"At what age did Mohamed El Shorbagy win the world team championship?","20","squash","108","Sure! Here's a small answer within 1 to 10 words:2011 (age 20)"
"How many years after going pro did Mohamed El Shorbagy rank number one in the world?","8","squash","108","Sure! Here's a small answer within 1 to 10 words:8 years."
"How many medals won Mohamed El Shorbagy  in World Championships (singles) from 2013?","8 Medals(1 Gold +3 Silver + 4 Bronze)","squash","108","Mohamed El Shorbagy has won 4 gold medals in World Championships (singles) from 2013."
"What is the current rank of Mohamed El Shorbagy in 2022?","3rd","squash","108","World No. 3"
"How many years ago did Mohamed El Shorbagy was top ranked as World No. 1?","8 Years ago (2014)","squash","108","Mohamed El Shorbagy was top ranked as World No. 1 in November 2014. Therefore, as of the current year (2022), it has been 8 years since he was top ranked."
"Number of titles won by Mohamed El Shorbagy?","43","squash","108","Sure, here's a small answer within 1 to 10 words:43 titles."
"What was the location of the world championship when Mohamed El Shorbagy was 25?","Cairo","squash","108","Manchester"
"Mohamed El Shorbagy turned pro at the age of?","15","squash","108","Sure! Here's a small answer within 1 to 10 words:2006"
"Mohamed El Shorbagy has been trained by how many coaches?","5","squash","108","Five coaches.Here are the names of the coaches who have trained Mohamed El Shorbagy:1. Jonah Barrington2. David Palmer3. Hadrian Stiff4. Graeme Williams5. Rodney Martin"
"How many medals did Coll win in international competition the year the picture was taken?","2","squash","109","Sure, here's a small answer within 1 to 10 words:2"
"How many years has Paul Coll been active in his career?","12 years","squash","109","Paul Coll has been active in his career for 12 years (2010-2022)."
"What year did Paul Coll win a silver medal in the Common Wealth Games?","2018","squash","109","Sure! Here's a small answer within 1 to 10 words:2018"
"When was the first time that Paul Coll got any silver medal?","2018","squash","109","Silver medal - second place | 2019-20 Doha | Singles"
"How long has it been since Paul Coll last got a bronze medal in any competition?","2018","squash","109","Four years."
"When was the first time that Paul Coll got a gold in the World Doubles Championships?","2016","squash","109","Paul Coll won his first World Doubles Championship gold medal in 2016."
"In what year did Paul Coll win his first bronze medal in a major tournament?","2016","squash","109","Sure! Here's a small answer within 1 to 10 words:2020"
"How many World Doubles Championship gold medals did Paul Coll win before he achieved his highest ranking?","2","squash","109","Two"
"How many years after turning pro did Paul Coll achieve his highest ranking?","12","squash","109","Paul Coll achieved his highest ranking of No. 1 on March 1, 2022, 12 years after turning pro in 2010."
"How long between when Coll won gold at the Darwin World Doubles Championships and Bronze at the Commonwealth Games?","2","squash","109","Four years."
"What year did Paul Coll gain his highest ranking?","2022","squash","109","Sure! Here's a small answer within 1 to 10 words:No. 1 (March 1, 2022)"
"How many years before Paul Coll achieved his highest ranking did he win gold at the Manchester World Doubles Championships?","5","squash","109","Six years."
"How old was Tarek Momen when he turned pro?","17","squash","110","Sure, here's a small answer within 1 to 10 words:Tarek Momen turned pro at age 17."
"How many gold medals did Tarek Momen win in 2015?","zero","squash","110","Sure! Here's a small answer within 1 to 10 words:1 gold medal"
"How many spots did Tarek Momen fall in the ranking from February 2019 to December 2021?","one","squash","110","Down 1 spot."
"How old did Tarek Momen turn the year he made his highest ranking?","31","squash","110","Sure! Here's a small answer within 1 to 10 words:Tarek Momen turned 30 in 2019, when he reached his highest ranking of No. 3."
"How old was Tarek Momen when he turned pro?","17 years old","squash","110","Sure, here's a small answer within 1 to 10 words:Tarek Momen turned pro at age 17."
"When did Tarek Momen earn his highest ranking?","February 2019","squash","110","February 2019"
"How old was Tarek Momen when he reached his highest ranking in 2019?","31 years old","squash","110","Sure! Here's a small answer within 1 to 10 words:Tarek Momen was 31 years old when he reached his highest ranking in 2019."
"How soon after turning pro did Tarek Momen achieve his highest ranking so far?","14","squash","110","Within 2 years."
"In how many World Team Championships did Tarek Momen play before playing the World Open singles?","1","squash","110","Sure, here's a small answer within 1 to 10 words:2"
"At what age did Chiyonofuji Mitsugu retire?","36 years","sumo","131","Age 56."
"How many years after Chiyonofuji Mitsugu's debut did he die?","46 years","sumo","131","Chiyonofuji died 46 years after his debut."
"How old was Chiyonofuji Mitsugu when he made hid debut?","15 years old","sumo","131","Chiyonofuji Mitsugu was 15 years old when he made his debut in September 1970."
"How old was Chiyonofuji Mitsugu when he retired?","36 years old","sumo","131","He was 36 years old when he retired in May 1991."
"How many years did Chiyonofuji Mitsugu compete?","21 years","sumo","131","answer : 21 years"
"How many years did Chiyonofuji achieved the Highest rank after his Debut in 1970?","11 Years (1981)","sumo","131","Eight years."
"How many years ago did Chiyonofuji was died?","6 Years ago (2016)","sumo","131","Six years ago."
"How old was Chiyonofuji Mitsugu when he got his highest ranking?","26 years","sumo","131","Chiyonofuji Mitsugu was 26 years old when he reached the rank of Yokozuna in July 1981."
"How many years did Chiyonofuji was as sumo wrestler from 1970?","21 Years (retired in 1991)","sumo","131","Chiyonofuji was a sumo wrestler for 21 years, from 1970 to 1991."
"How old was Futabayama Sadaji when he achieved his rank as Yokozuna?","25","sumo","134","Futabayama Sadaji was 25 years old when he achieved his rank as Yokozuna in May 1937."
"When did Futabayama Sadaji make his debut?","1927","sumo","134","March 1927"
"How long after his retirement did Futabayama Sadaj die?","23 years","sumo","134","December 16, 1968 - November 1945 = 23 years"
"How old was Futabayama Sadaji when he retired?","33 years old","sumo","134","He was 33 years old when he retired in November 1945."
"How long was Futabayama Sadaji actively involved in his sport?","18 years","sumo","134","Futabayama Sadaji was actively involved in sumo for 18 years, from 1927 to 1945."
"How old was Futabayama Sadaji when he made his debut?","13","sumo","134","Twenty-five."
"How old was Futabayama Sadaji when he retired?","33","sumo","134","Futabayama Sadaji was 33 years old when he retired in November 1945."
"How old was Futabayama Sadaji when he gained his highest rank?","25 years old","sumo","134","Futabayama Sadaji was 25 years old when he gained his highest rank of Yokozuna in May 1937."
"How many years after Futabayama Sadaji debut was his retirement?","18","sumo","134","Futabayama Sadaji retired 18 years after his debut."
"Which championship did Haguroyama Masaji gain more of than all other combined?","Makuuchi","sumo","137","Makuuchi"
"What was the age when Haguroyama Masaji got highest rannk?","At the age of 27","sumo","137","Haguroyama Masaji was 27 years old when he reached the highest rank of Yokozuna in May 1941."
"How old did Haguroyama Masaji turn in the year he made Yokozuna?","27","sumo","137","Haguroyama Masaji turned 27 years old in the year he made Yokozuna."
"At what age did Haguroyama Masaji retire?","39 years","sumo","137","Haguroyama Masaji retired in September 1953 at the age of 38."
"How old was Haguroyama Masaji when he debuted?","20 years","sumo","137","Haguroyama Masaji was 19 years old when he debuted in January 1934."
"At what age did Haguroyama Masaji receive his highest ranking?","27 years","sumo","137","Haguroyama Masaji received his highest ranking of Yokozuna at the age of 26 in May 1941."
"How many years did Haguroyama Masaji career in sumo?","19 Years","sumo","137","Haguroyama Masaji's career in sumo spanned 19 years."
"How many years ago did Haguroyama Masaji was started his career?","88 Years ago (1934)","sumo","137","Haguroyama Masaji started his career 88 years ago."
"How many years after debuting did Haguroyama Masaji retire?","19","sumo","137","September, 1953 - 1934 = 19 years"
"How old was Harumafuji Kōhei during his debut?","17","sumo","139","Harumafuji was 17 years old during his debut in January 2001."
"What was the age when Harumafuji Kōhei was retired from sumo in 2017?","Age of 33","sumo","139","Thirty-three."
"What year did Harumafuji Kōhei attain his highest ranking?","2012","sumo","139","September 2012"
"How many years did Harumafuji Kōhei compete before retiring in 2017?","16 years","sumo","139","Six years."
