question,answer,table_id,answer_type,is_temporal,answer_old,answer_timeunit
How many years after turning pro did Jack Nicklaus win a Masters Tournament?,2,66,COUNT,Is temporal,2,year
How many years had Jack Nicklaus been playing when he won his first Masters Tournament?,2 years,66,TEMPORAL,Is temporal,2 years,year
How many years had Jack Nicklaus been playing when he won his last PGA as leading money winner?,15 years,66,TEMPORAL,Is temporal,15 years,year
What was the last year that Jack Nicklaus won a U.S. Open?,1980,66,TEMPORAL,Is temporal,1980,not defined
How many years were between the time Diegel first won the PGA Championship and when he achieved T16 at the Master's?,6,68,COUNT,Is temporal,6,year
How many years before Diegel died was the picture taken?,19,68,COUNT,Is temporal,19,year
How long was Leo Diegel married?,17 years,68,TEMPORAL,Is temporal,17 years,year
How long after Diegel started his pro career did he marry Violet Bird Diegel?,18 years,68,TEMPORAL,Is temporal,18 years,year
How many years after winning his first competition did Leo Diegel pass away?,31,68,COUNT,Is temporal,31,year
How many years ago did Leo Diegel was died?,71 Years ago,68,TEMPORAL,Is temporal,71 Years ago,year
How many years had Sam Snead been playing professionally when he won the Masters?,15 years,70,TEMPORAL,Is temporal,15 years,year
What year did Sam Snead begin playing professionally?,1934,70,TEMPORAL,Is temporal,1934,year
How many years separate the time Sam Snead began playing professionally and his death?,68 years,70,TEMPORAL,Is temporal,68 years,year
How many years before he married Audrey Karnes Snead did Snead begin his pro career?,6,70,COUNT,Is temporal,6,year
How long after starting his pro career did Snead win his first championship?,8 years,70,TEMPORAL,Is temporal,8 years,year
How old was Sam Snead when he turned professional?,32,70,AGE,Is temporal,32,year
What year was Chuck Howley drafted into the NFL?,1958,74,TEMPORAL,Is temporal,1958,year
How many years did Chuck Howley play for the Los Raiders?,12,74,COUNT,Is temporal,12,year
What was the total number of years that Chuck Howley was a 5× First-team All-Pro?,4,74,COUNT,Is temporal,4,not defined
How old was Chuck Howley when his NFL career began?,22,74,AGE,Is temporal,22,year
When was the last year that Chuck Howley played in the Pro Bowl?,1971,74,TEMPORAL,Is temporal,1971,year
During what year did Manning receive the most awards or highlights?,2003,75,TEMPORAL,Is temporal,2003,year
How many years longer did Manning play for the New York Giants than Ole Miss?,11,75,COUNT,Is temporal,11,year
What were the number of years that Eli Manning played for the Giants before he won the Walter Payton NFL Man of the Year in 2016?,12 years,75,TEMPORAL,Is temporal,12 years,year
What year was Eli Manning drafted into the NFL?,2004,75,TEMPORAL,Is temporal,2004,year
How many years did Eli Manning play for the New York Giants?,15,75,COUNT,Is temporal,15,year
How many years did Eli Manning attend school at Ole Miss?,4 years,75,TEMPORAL,Is temporal,4 years,year
How many years after Eli Manning attended Ole Miss did he win the Bart Starr award?,21 years,75,TEMPORAL,Is temporal,21 years,year
How many years did James Worthy play professionally?,12 years,81,TEMPORAL,Is temporal,12 years,year
When was the last time that James Worthy played in an NBA All Stars game?,1992,81,TEMPORAL,Is temporal,1992,year
When was the first time that James worthy was chosen as an All-American player?,1978,81,TEMPORAL,Is temporal,1978,year
For how many years did James Worthy play for the NBA?,12,81,COUNT,Is temporal,12,year
How many years after winning the gold medal at the FIBA U19 World Championship did Worthy enter the draft?,3,81,COUNT,Is temporal,3,year
How long after Worthy's NBA career began did he win his first NBA championship?,3 years,81,TEMPORAL,Is temporal,3 years,year
How long had James Worthy been playing professionally when he won the NCAA Championship?,1,81,UNKNOWN,Is temporal,1,not defined
How many years ago did Nate Archibald was received Basketball Hall of Fame as player?,16 Years ago (2006),83,TEMPORAL,Is temporal,16 Years ago (2006),not defined
How many years did Nate Archibald play professionally for?,14,83,COUNT,Is temporal,14,year
When was the last time that Nate Archibald was an NBA All Star?,1982,83,TEMPORAL,Is temporal,1982,year
How many years did Nate Archibald was active carreer since 1970?,14 Years,83,TEMPORAL,Is temporal,14 Years,year
What was the age when Scottie Pippen won gold medal in 1996 Atlanta Olympic Games?,Age of 31,89,AGE,Is temporal,Age of 31,year
How many years did Pippen play between his stints in Chicago?,5,89,COUNT,Is temporal,Five,year
How old was Pippwn when he won his first Olympic gold?,26,89,AGE,Is temporal,26,year
How long after Pippen entered the NBA draft did was he awarded NBA steals leader?,8 years,89,TEMPORAL,Is temporal,8 years,year
How many years longer did Pippen play for the Chicago Bulls than for the Portland Trail Blazers?,8,89,COUNT,Is temporal,8,year
How many years ago did Scottie Pippen awarded NBA steals leader?,27 Years ago (1995),89,TEMPORAL,Is temporal,27 Years ago (1995),not defined
What was the first year that Carolina Albuquerque competed on the national team?,1997,93,TEMPORAL,Is temporal,1997,not defined
How many years separate Carolina Albuquerque's silver medals in the the World Grand Prix and the World Championship?,7,93,COUNT,Is temporal,7,year
How long after her first gold medal in any international competition did Carolina Albuquerque win a gold in Olympics?,9 years,93,TEMPORAL,Is temporal,9 years,year
In which year did Carolina Albuquerque win the most gold medals in international competition?,2008,93,TEMPORAL,Is temporal,2008,not defined
What years did Carolina Albuquerque win medals in Asia?,"1999, 2005, 2006, 2008",93,TEMPORAL,Is temporal,"1999, 2005, 2006, 2008",year
What was the age when Thiago Alves won first medal in Olympic Games 2012?,Age of 26,96,AGE,Is temporal,Age of 26,year
How many years separate the two gold medals that Thiago Alves won in the World Grand Championships Cup?,4 years,96,TEMPORAL,Is temporal,4 years,year
How old was Thiago Alves when he won gold in the Pan American games in 2011?,25 years,96,TEMPORAL,Is temporal,25 years,year
How many years did Thiago Alves played for Grêmio Náutico União from 2000?,3 Years (2000-2003),96,TEMPORAL,Is temporal,3 Years (2000-2003),not defined
What year did Matt Biondi win 4 gold medals in the Summer Universiade games?,1985,115,TEMPORAL,Is temporal,1985,year
How many years after winning his first medal in an Olympic Game did Matt Biondi win a medal in his last Olympic Game?,8,115,COUNT,Is temporal,8,year
What year did Matt Biondi win his only bronze in the Olympics?,1988,115,TEMPORAL,Is temporal,1988,year
When was the last time that Matt Biondi won a medal in the Olympic Games?,1992,115,TEMPORAL,Is temporal,1992,year
When did Matt Biondi first win a gold at the Olympic Games?,1984,115,TEMPORAL,Is temporal,1984,not defined
In what year did Jager win the most overall Olympic medals?,1988,118,TEMPORAL,Is temporal,1988,year
How many years were between Jager's gold medals at the Los Angeles Olympics and his gold medals at the Edmonton Pan Am Games?,7,118,COUNT,Is temporal,7,year
How long was it between when Bayinnaung's reign as Suzerain of Lan Na began and his first reign as Suzerain of Lan Xang ended?,10,119,UNKNOWN,Is temporal,10,not defined
How many months after the beginning of his reign as King of Burma was Bayinnaung's coronation at Toungoo?,9,119,COUNT,Is temporal,9,not defined
How many days after Bayinnaung died did they bury him?,5,119,COUNT,Is temporal,5,not defined
In what year did Bayinnaung first reign?,1565,119,TEMPORAL,Is temporal,1565,year
How many years did Bayinnaung was ruled the Suzerain of Siam?,17 Years,119,TEMPORAL,Is temporal,17 Years,year
How old was Peter III when he became King of Aragon and Valencia Count of Barcelona?,37 years old,122,TEMPORAL,Is temporal,37 years old,year
How long did Peter III rule as King of Aragon and Valencia Count of Barcelona?,9 years,122,TEMPORAL,Is temporal,9 years,year
When did Peter III assume his first role?,4 September 1282,122,UNKNOWN,Is temporal,4 September 1282,not defined
How many years before the his death did Peter III begin his reign as King of Sicily?,3,122,COUNT,Is temporal,3,year
How many years did Peter III reign as King of Sicily?,3 years,122,TEMPORAL,Is temporal,3 years,year
How much longer was Peter III's reign as King of Aragon and Valencia Count of Barcelona than as King of Sicily?,6 years,122,TEMPORAL,Is temporal,6 years,year
How old was Peter III when he started his reign as King of Aragon and Valencia Count of Barcelona?,37,122,AGE,Is temporal,37,year
Since 2013 what year did Chen Yufei not win a medal in badminton?,2021,129,TEMPORAL,Is temporal,2021,year
In what year did Chen Yufei win the most medals?,2016,129,TEMPORAL,Is temporal,2016,year
How many years are between Chen Yufei's gold medal at the Kota Kinabalu Asian Junior Championships and her gold medal at the Tokyo Olympics?,7,129,COUNT,Is temporal,7,year
How many years ago did Shi Yuqi achived highest rank?,5 Years ago (2017),166,TEMPORAL,Is temporal,5 Years ago (2017),not defined
In what year did Shi Yuqi win the most gold medals?,2014,166,TEMPORAL,Is temporal,2014,year
How many years separate Yuqi's silver medal at the World Championship and his silver at the Asian Junior Championships?,6,166,COUNT,Is temporal,6,year
When was the first time that Shi Yuqi won a medal in the Asian Junior Championships?,2012,166,TEMPORAL,Is temporal,2012,year
When was the most recent year in which Shi Yuqi won a medal?,2021,166,TEMPORAL,Is temporal,2021,year
In what year did Wang Xiaoli win the most bronze medals?,2006,174,TEMPORAL,Is temporal,2006,year
How many years separate Wang Xiaoli's gold medal at the London World Championship and her gold medal at the Asian Junior Championships?,5,174,COUNT,Is temporal,5,year
When was the most recent time that Wang Xiaoli received a medal in the Asian Junior Championships?,2007,174,TEMPORAL,Is temporal,2007,year
When was the first time that Wang Xiaoli won a medal in the World Championships?,2010,174,TEMPORAL,Is temporal,2010,year
How many years ago did Wang Xiaoli achived Highest ranking?,8 Years ago,174,TEMPORAL,Is temporal,8 Years ago,year
What was the age when Wang Xiaoli won first gold medal in Asian Junior Championships 2006?,Age of 17,174,AGE,Is temporal,Age of 17,year
How many years did B-24 Skua was in active service as bomber/fighter?,3 Years,226,TEMPORAL,Is temporal,3 Years,year
How many years ago did B-24 Skua was first flighted?,85 Years ago,226,TEMPORAL,Is temporal,85 Years ago,year
What year was the B-24 Skua introduced?,1938,226,TEMPORAL,Is temporal,1938,year
How many years was it after the first flight was the B-24 Skua introduced?,1 year,226,TEMPORAL,Is temporal,1 year,year
How many years did the B-24 Skua fly before it was retired?,8 years,226,TEMPORAL,Is temporal,8 years,year
How much longer was the time between when the B-24 Skua was withdrawn from the front line and withdrawn from other duties than the first flight and the introduction?,3 years,226,TEMPORAL,Is temporal,3 years,year
How many years were between when the B-24 Skua was introduced and it was withdrawn from the front line?,3,226,COUNT,Is temporal,3,year
How long after the first flight of the B-24 Skua was it withdrawn from other duties?,8 years,226,TEMPORAL,Is temporal,8 years,year
How many years passed between first flight and introduction of JF-17 Thunder?,4 years,229,TEMPORAL,Is temporal,4 years,year
How many years did JF-17 Thunder was introduced after first flight in 2003?,4 Years after,229,TEMPORAL,Is temporal,4 Years after,year
How many years did JF-17 Thunder is produced in pakistan?,14 Years,229,TEMPORAL,Is temporal,14 Years,year
How long in years has JF-17 Thunder been used in Pakistan?,14,229,UNKNOWN,Is temporal,14,not defined
How many years has JF-17 Thunder been used in China?,15,229,COUNT,Is temporal,15,year
How many years after its first flight was the A JF-17 produced in Pakistan?,4,229,COUNT,Is temporal,4,year
How long did it take for the inflation to reduce 0.8% in the economy of France?,1 year,243,TEMPORAL,Is temporal,1 year,year
In how many years did Human Development Index of the economy of France grow by 0.089 points?,1 year,243,TEMPORAL,Is temporal,1 year,year
How long after the economic aid of $9.50 billion was the revenues of the French economy 52.6% of GDP?,3 years,243,TEMPORAL,Is temporal,3 years,year
What day does Japan's fiscal year end?,31 March,248,UNKNOWN,Is temporal,31 March,not defined
What day does Japan's fiscal year begin?,1 April,248,UNKNOWN,Is temporal,1 April,not defined
"How many years are between the year Malaysia's nominal GDP rank was 34th and the year its PPP GDP per capita was $32,901?",0,250,COUNT,Is temporal,0,year
How many days has it been since Horacio Rosatti became President of the Supreme Court of Argentina?,283,253,COUNT,Is temporal,283,not defined
How many years ago did Supreme Court of Argentina Established?,159 Years ago,253,TEMPORAL,Is temporal,159 Years ago,year
How many days ago did Carlos Rosenkrantz in office of the vice president of Supreme Court of Argentina?,271 days ago,253,TEMPORAL,Is temporal,271 days ago,not defined
How many months has it been since the Supreme Court of Argentina been?,1913,253,COUNT,Is temporal,1913,not defined
"If a judge is appointed at the age of 50, how many years may they serve before a five-year extension is required?",25 years,253,TEMPORAL,Is temporal,25 years,year
How old did the Supreme Administrative Court turn the year Anna Sporrer became Vice President?,138 years,254,TEMPORAL,Is temporal,138 years,year
How many years ago Supreme Administrative Court was established?,146,254,COUNT,Is temporal,146,year
How long has Rudolf Thienel been President of Supreme Administrative Court?,8 years,254,TEMPORAL,Is temporal,8 years,year
How long after its establishment did Supreme Administrative Court have Rudolf Thienel as its President?,138 years,254,TEMPORAL,Is temporal,138 years,year
How old did the Supreme Administrative Court turn the year Rudolf Thienel became President?,138 years,254,TEMPORAL,Is temporal,138 years,year
How many years after Rudolf Thienel became President did Anna Sporrer became Vice President?,0,254,COUNT,Is temporal,zero,year
How many years did Supreme Court of Israel was established?,74 years,257,TEMPORAL,Is temporal,74 years,year
How much longer will Esther Hayut's term as president be than Uzi Vogelman's term as deputy president when their lead positions end?,4 years,257,TEMPORAL,Is temporal,4 years,year
How many years between when Uzi Vogelman term as deputy president begins and when his Jurist term ends?,2,257,COUNT,Is temporal,2,year
How long after the Supreme Court of Israel was established did Esther Hayut become president?,69 years,257,TEMPORAL,Is temporal,69 years,year
For approximately how many more years has Esther Hayut been with the Supreme Court of Israel vs Uzi Vogelman?,5,257,COUNT,Is temporal,5,not defined
How many years later did Esther Hayut become President after the start of Supreme Court of Israel?,69,257,COUNT,Is temporal,69,year
How many years ago did Casey Mears last participated in IndyCar Series?,21 Years ago (2001),264,TEMPORAL,Is temporal,21 Years ago (2001),not defined
How many years ago did Casey Mears received the award of Coca-Cola 600 winner?,15 Years ago (2007),264,TEMPORAL,Is temporal,15 Years ago (2007),not defined
How many years did Casey Mears participated in NASCAR Xfinity Series?,17 Years (2001-2017),264,TEMPORAL,Is temporal,17 Years (2001-2017),not defined
How many years did Casey Mears career last in the Champ Car series?,2 years,264,TEMPORAL,Is temporal,2 years,year
What year did Casey Mears have his first Daytona 500 race?,2003,264,TEMPORAL,Is temporal,2003,year
How many years did it take for Mears to win a NASCAR Cup Series race?,4,264,COUNT,Is temporal,Four,year
How old was Cody Ware when he debut in the NASCAR Cup Series?,22 years old,265,TEMPORAL,Is temporal,22 years old,year
How many years did Cody Ware race in the NASCAR Xfinity Cup Series?,7 years,265,TEMPORAL,Is temporal,7 years,year
How many years ago did Cody Ware won Lamborghini Super Trofeo North America Rookie of the Year 2014?,8 Years ago,265,TEMPORAL,Is temporal,8 Years ago,year
What was the age when Cody Ware participated first race in NASCAR PEAK Mexico Series 2014?,Age of 19,265,AGE,Is temporal,Age of 19,year
How old was Cody Ware when he competed in the NASCAR PEAK Mexico Series?,19 years old,265,TEMPORAL,Is temporal,19 years old,year
What year did Cody Ware race for his first NASCAR Cup series race?,2017,265,TEMPORAL,Is temporal,2017,year
How many years ago did Tony Stewart was awarded IROC champion?,16 Years ago (2006),272,TEMPORAL,Is temporal,16 Years ago (2006),not defined
What was the age when Tony Stewart first participated in IndyCar Series career?,Age of 21,272,AGE,Is temporal,Age of 21,year
What year did Tony Stewart win his first NASCAR Cup Series Race?,2002,272,TEMPORAL,Is temporal,2002,year
At what age was Stewart inducted into the NASCAR Hall of Fame?,49,272,AGE,Is temporal,49,year
What year did Tony Stewart win his last NASCAR Series Cup Race?,2016,272,TEMPORAL,Is temporal,2016,year
How old was Tony Stewart when he won his first 2002 NASCAR Series Race?,31 years old,272,TEMPORAL,Is temporal,31 years old,year
How old was B. J. Neufeld when he received his last medal?,36,281,AGE,Is temporal,36,year
When was the last time that B. J. Neufeld won any type of medal?,2022,281,TEMPORAL,Is temporal,2022,year
How many years has B.J. Neufeld been associated with a member association?,15 years,281,TEMPORAL,Is temporal,15 years,year
How many years ago did B. J. Neufeld was top ranked in CTRS?,8 Years ago,281,TEMPORAL,Is temporal,8 Years ago,year
When was the first time that Dawn McEwen made an appearance at the World Championships?,2008,288,TEMPORAL,Is temporal,2008,year
When was the first time that Dawn McEwen got a gold medal at the Scotties Tournament of Hearts?,2008,288,TEMPORAL,Is temporal,2008,year
How old was Dawn McEwen when she won the gold at the 2014 Sochi Olympics?,34 years old,288,TEMPORAL,Is temporal,34 years old,year
What year did Dawn McEwen make her first Olympic appearance?,2014,288,TEMPORAL,Is temporal,2014,year
How many years did Dawn McEwen played for  Ontario from 2003?,4 Years,288,TEMPORAL,Is temporal,Four Years,year
When did Emma Kathryn Miskew first win a medal in the World Curling Championships?,2013,291,TEMPORAL,Is temporal,2013,not defined
What was the age when Emma Miskew was appeared in 2018 Olympic Games?,Age of 29,291,AGE,Is temporal,Age of 29,year
How many years are between Miskew's gold medal at the Canada Winter Games and her gold medal at the Canadian Olympic Curling Trials?,10,291,COUNT,Is temporal,10,year
How old was Emma Kathryn Miskew when she made her first Hearts appearance?,22,291,AGE,Is temporal,22,year
What year started Alexandra Boltasseva's longest streak for getting an award each year start?,2017,315,TEMPORAL,Is temporal,2017,year
When did Alexandra Boltasseva win her first award?,2008,315,TEMPORAL,Is temporal,2008,not defined
"What year did Alexandra Boltasseva, win her first award?",2008.,315,TEMPORAL,Is temporal,2008.,year
How old was Boltasseva when she won Young Elite-Researcher Award from the Danish Councils for Independent Research?,30,315,AGE,Is temporal,30,year
How old was Alexandra Boltasseva when she won her first award?,30,315,AGE,Is temporal,30,year
How many years were between Boltasseva's award for  Fellow of the Materials Research Society and Fellow of The Optical Society?,6,315,COUNT,Is temporal,6,year
In what year did Boltasseva win the most awards?,2013,315,TEMPORAL,Is temporal,2013,year
"What year did Alexandra Blotasseva, gain the MIT Technology Review Top Young Innovator, award?",2011.,315,TEMPORAL,Is temporal,2011.,year
How many years after getting the 2001 Innovative Teaching Grant - Intel Corporation did Aude Gemma Billard get The Outstanding Young Person in Science and Innovation award?,2 years,321,TEMPORAL,Is temporal,2 years,year
How many years are between Billard's award for The Outstanding Young Person in Science and Innovation and Innovative Teaching Grant?,2,321,COUNT,Is temporal,2,year
How many years ago did Aude Gemma Billard was got award for Fellowship Medicus Foundation?,23 Years ago (1999),321,TEMPORAL,Is temporal,23 Years ago (1999),not defined
What was the age when Aude Gemma Billard was received the award Member of SATW?,Age of 45,321,AGE,Is temporal,Age of 45,year
How old was Aude Gemma Billard when nominated as a member of SATW?,45 years,321,TEMPORAL,Is temporal,45 years,year
How old was  Aude Billard when she was Nominated as Member of SATW?,45,321,AGE,Is temporal,45,year
How many years was Hulk Hogan active as a wrestler?,35,339,COUNT,Is temporal,35,year
How many years ago did Linda Hogan was debut his wrestling career?,45 years ago (1977),339,TEMPORAL,Is temporal,45 years ago (1977),not defined
What year did Hulk Hogan become an actor?,1982,339,TEMPORAL,Is temporal,1982,year
How old was Hulk Hogan when he married Linda Hogan?,30 years old,339,TEMPORAL,Is temporal,30 years old,year
How many years was Hulk Hogan a wrestler when he started acting?,5,339,COUNT,Is temporal,five,year
From which year did Linda Hogan became the actor?,1982,339,TEMPORAL,Is temporal,1982,not defined
How many years did Hulk Hogan actively wrestle?,35 years,339,TEMPORAL,Is temporal,35 years,year
At what age did Jeffrey Epstein get work release?,55,340,AGE,Is temporal,55,year
Approximately how long after being apprehended did Jeffrey Epstein die by suicide?,1 month,340,TEMPORAL,Is temporal,1 month,not defined
How old did Jeffrey Epstein turn the year he was apprehended?,66,340,AGE,Is temporal,66,not defined
How many months after being apprehended did Jeffrey Epstein commit suicide?,1,340,COUNT,Is temporal,one,not defined
How many years after his first penalty was Jeffrey Epstein apprehended?,11 years,340,TEMPORAL,Is temporal,11 years,year
How old was Epstein when he was apprehended?,66,340,AGE,Is temporal,66,year
"How many days did Jeffrey Epstein alive after he was apprehended on uly 6, 2019?",35 days,340,TEMPORAL,Is temporal,35 days,not defined
How many days after Epstein was apprehended was the mugshot photo taken ?,3,340,COUNT,Is temporal,3,not defined
What year was Jeffrey Epstein apprehended?,2019,340,TEMPORAL,Is temporal,2019,year
How long after his arrest did Epstein die?,1 month,340,TEMPORAL,Is temporal,1 month,not defined
How old was Jeffrey Epstein when he was apprehended in 2019?,66 years old,340,TEMPORAL,Is temporal,66 years old,year
At what age was Jeffrey Epstein apprehended?,66,340,AGE,Is temporal,66,year
How many days before his death was Jeffrey Edward Epstein apprehended?,35 days,340,TEMPORAL,Is temporal,35 days,not defined
How old was Jeffrey Edward Epstein at the time of his 13 months penalty?,55 years,340,TEMPORAL,Is temporal,55 years,year
How many days after Jeffrey Edward Epstein's apprehension was his final mugshot taken?,3 days,340,TEMPORAL,Is temporal,3 days,not defined
How old was Jeffrey Epstein was convicted in 2008?,55 Years,340,TEMPORAL,Is temporal,55 Years,year
What year was Jeffrey Epstein first convicted of sex trafficking?,2008,340,TEMPORAL,Is temporal,2008,year
How old was Nicki Minaj when she married Kenneth Petty in 2019?,37 years old,347,TEMPORAL,Is temporal,37 years old,year
For how many years was Nicki Minaj with her second partner?,3,347,COUNT,Is temporal,3,year
How long was Nicki Minaj with her first partner when she started performing?,4 years,347,TEMPORAL,Is temporal,4 years,year
How many years has Nicki Minaj been active in her career?,18 years,347,TEMPORAL,Is temporal,18 years,year
How old was Minaj when her career began?,22,347,AGE,Is temporal,22,year
How long after Minaj's career began did she marry Kenneth Petty?,15 years,347,TEMPORAL,Is temporal,15 years,year
How old was Nicki Minaj when she ended her partnership with Safaree Samuels?,32,347,AGE,Is temporal,32,year
How many years between Nicki Minaj's relationship between Safaree Samuels and Meek Mill?,1 year.,347,TEMPORAL,Is temporal,One year.,year
How old was Nicki Minaj when she got married?,36,347,AGE,Is temporal,36,year
When did Nicki Minaj break up with her first partner?,2014,347,TEMPORAL,Is temporal,2014,not defined
How much longer did Minaj's relationship with Safaree Samuels last than with Meek Mill?,12 years,347,TEMPORAL,Is temporal,12 years,year
How many years was Paul Gauguin married to Teha'amana?,2,349,COUNT,Is temporal,2,year
What age did Paul Gauguin die at?,54,349,AGE,Is temporal,54,not defined
How many years ago did Paul Gauguin die?,119,349,COUNT,Is temporal,119,year
At what age Paul Gauguin married Mette-Sophie Gad?,25,349,AGE,Is temporal,25,year
At what age Paul Gauguin seperated Mette-Sophie Gad?,46,349,AGE,Is temporal,46,year
At what age Paul Gauguin seperated Teha'amana?,45,349,AGE,Is temporal,45,year
