question,answer,table_id,answer_type,is_temporal
How many times did  Tony Stewart wins NASCAR Cup Series from 1999-2016?,49 wins,272,COUNT,False
How many medals won by B. J. Neufeld for Manitoba from 2007 to present?,Two,281,COUNT,False
How many total medals has B.J. Neufeld win in all Tim Horton Brier events?,4,281,COUNT,False
How old was B. J. Neufeld when he received his last medal?,36,281,AGE,True
When was the last time that B. J. Neufeld won any type of medal?,2022,281,TEMPORAL,True
How many years has B.J. Neufeld been associated with a member association?,15 years,281,TEMPORAL,True
How many years ago did B. J. Neufeld was top ranked in CTRS?,8 Years ago,281,TEMPORAL,True
Which member association did B.J. Neufeld have when he won the Canadian Open?,Manitoba,281,UNKNOWN,True
When was the first time that Dawn McEwen made an appearance at the World Championships?,2008,288,TEMPORAL,True
When was the first time that Dawn McEwen got a gold medal at the Scotties Tournament of Hearts?,2008,288,TEMPORAL,True
At what competition did Dawn McEwen get her most recent medal?,Scotties Tournament of Hearts,288,UNKNOWN,False
How old was Dawn McEwen when she won the gold at the 2014 Sochi Olympics?,34 years old,288,TEMPORAL,True
What year did Dawn McEwen make her first Olympic appearance?,2014,288,TEMPORAL,True
How many years did Dawn McEwen played for  Ontario from 2003?,Four Years,288,TEMPORAL,True
How many times did Dawn McEwen was appeared in Olympic games from 2014?,"Two Times (2014, 2022)",288,TEMPORAL,False
How many gold medals won by Dawn McEwen in Scotties Tournament of Hearts representing Manitoba from 2008?,Five Gold Medals,288,COUNT,False
At what competition did Emma Kathryn Miskew most recently receive a medal?,Scotties Tournament of Hearts,291,UNKNOWN,False
When did Emma Kathryn Miskew first win a medal in the World Curling Championships?,2013,291,TEMPORAL,True
What was the age when Emma Miskew was appeared in 2018 Olympic Games?,Age of 29,291,AGE,True
How many medals did Miskew the first year she had a number one CTRS ranking?,3,291,COUNT,True
How many years are between Miskew's gold medal at the Canada Winter Games and her gold medal at the Canadian Olympic Curling Trials?,10,291,COUNT,True
How old was Emma Kathryn Miskew when she made her first Hearts appearance?,22,291,AGE,True
How many gold medals won by Emma Miskew was represented for Ontario from 2007?,Four,291,COUNT,False
What year started Alexandra Boltasseva's longest streak for getting an award each year start?,2017,315,TEMPORAL,True
When did Alexandra Boltasseva win her first award?,2008,315,TEMPORAL,True
"What year did Alexandra Boltasseva, win her first award?",2008.,315,TEMPORAL,True
How old was Boltasseva when she won Young Elite-Researcher Award from the Danish Councils for Independent Research?,30,315,AGE,True
How old was Alexandra Boltasseva when she won her first award?,30,315,AGE,True
How many years were between Boltasseva's award for  Fellow of the Materials Research Society and Fellow of The Optical Society?,6,315,COUNT,True
In what year did Boltasseva win the most awards?,2013,315,TEMPORAL,True
"What year did Alexandra Blotasseva, gain the MIT Technology Review Top Young Innovator, award?",2011.,315,TEMPORAL,True
What was the most recent award won by Alexandra Boltasseva?,Fellow of the Materials Research Society,315,UNKNOWN,False
How many years after getting the 2001 Innovative Teaching Grant - Intel Corporation did Aude Gemma Billard get The Outstanding Young Person in Science and Innovation award?,2 years,321,TEMPORAL,True
How many years are between Billard's award for The Outstanding Young Person in Science and Innovation and Innovative Teaching Grant?,2,321,COUNT,True
What award did Billard receive the same year she  was Nominated as Member of SATW?,Nominated for Outstanding Women in Academics SNSF,321,UNKNOWN,True
How many years ago did Aude Gemma Billard was got award for Fellowship Medicus Foundation?,23 Years ago (1999),321,TEMPORAL,True
What was the age when Aude Gemma Billard was received the award Member of SATW?,Age of 45,321,AGE,True
What award did Aude Gemma Billard get when she was 44 years old?,King-Sun Fu Best Transactions Paper Award,321,UNKNOWN,True
How old was Aude Gemma Billard when nominated as a member of SATW?,45 years,321,TEMPORAL,True
How old was  Aude Billard when she was Nominated as Member of SATW?,45,321,AGE,True
How many awards did Aude Gemma Billard  was received since 1990?,8 Awards,321,COUNT,False
How many years was Hulk Hogan active as a wrestler?,35,339,COUNT,True
How many years ago did Linda Hogan was debut his wrestling career?,45 years ago (1977),339,TEMPORAL,True
What year did Hulk Hogan become an actor?,1982,339,TEMPORAL,True
How old was Hulk Hogan when he married Linda Hogan?,30 years old,339,TEMPORAL,True
"Which is greater, the number of Hulk Hogan's divorces or nephews?",divorces,339,UNKNOWN,False
How many years was Hulk Hogan a wrestler when he started acting?,five,339,COUNT,True
From which year did Linda Hogan became the actor?,1982,339,TEMPORAL,True
How many years did Hulk Hogan actively wrestle?,35 years,339,TEMPORAL,True
What was Jeffrey Epstein occupation?,financier,340,UNKNOWN,False
At what age did Jeffrey Epstein get work release?,55,340,AGE,True
Approximately how long after being apprehended did Jeffrey Epstein die by suicide?,1 month,340,TEMPORAL,True
How old did Jeffrey Epstein turn the year he was apprehended?,66,340,AGE,True
How many months after being apprehended did Jeffrey Epstein commit suicide?,one,340,COUNT,True
How many years after his first penalty was Jeffrey Epstein apprehended?,11 years,340,TEMPORAL,True
How old was Epstein when he was apprehended?,66,340,AGE,True
"How many days did Jeffrey Epstein alive after he was apprehended on uly 6, 2019?",35 days,340,TEMPORAL,True
How many days after Epstein was apprehended was the mugshot photo taken ?,3,340,COUNT,True
What year was Jeffrey Epstein apprehended?,2019,340,TEMPORAL,True
How long after his arrest did Epstein die?,1 month,340,TEMPORAL,True
How old was Jeffrey Epstein when he was apprehended in 2019?,66 years old,340,TEMPORAL,True
At what age was Jeffrey Epstein apprehended?,66,340,AGE,True
How many days before his death was Jeffrey Edward Epstein apprehended?,35 days,340,TEMPORAL,True
How did Jeffrey Epstein die?,hanging,340,UNKNOWN,False
How old was Jeffrey Edward Epstein at the time of his 13 months penalty?,55 years,340,TEMPORAL,True
